ClusterName,NCells,Description,Class,TaxonomyRank2,Neurotransmitter,Region,Probable_location,Comment
HBSER4,72,"Serotonergic neurons, hindbrain",Neurons,CNS neurons,"Serotonin, Glutamate (VGLUT3)",Medulla,"Nucleus raphe medulla (pallidus, oscurus, magnus, B1-3)",nan
HBSER5,64,"Serotonergic neurons, hindbrain",Neurons,CNS neurons,Serotonin,Pons,"Nucleus raphe pons (pallidus, oscurus, magnus, B1-3)",nan
TEGLU15,186,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,"Glutamate (VGLUT1,VGLUT2)",Cortex,Piriform pyramidal,nan
TEGLU16,61,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,"Glutamate (VGLUT1), Nitric oxide",Cortex,Piriform pyramidal,nan
TEGLU5,126,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,"Glutamate (VGLUT1,VGLUT2)",Cortex,Entorhinal superficial layers,nan
TEGLU4,664,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,Glutamate (VGLUT1),Cortex,"Cortex pyramidal layer 5, Cingulate/Retrosplenial area (superficial and deep)",nan
TEGLU22,958,"Excitatory neurons, amygdala",Neurons,CNS neurons,Glutamate (VGLUT1),Amygdala,Basolateral amygdala,nan
TEGLU23,484,"Excitatory neurons, hippocampus CA3",Neurons,CNS neurons,"Glutamate (VGLUT1), Nitric oxide",Hippocampus,CA3,nan
TEGLU24,2037,"Excitatory neurons, hippocampus CA1",Neurons,CNS neurons,"Glutamate (VGLUT1), Nitric oxide",Hippocampus,CA1,nan
TEGLU17,784,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,Glutamate (VGLUT1),Cortex,Piriform pyramidal,nan
TEGLU18,657,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,Glutamate (VGLUT1),Cortex,"Anterior olfactory nucleus, deep layer",nan
TEGLU19,89,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,Glutamate (VGLUT1),Cortex,Anterior olfactory nucleus and ventral striatum,nan
TEGLU2,274,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,Glutamate (VGLUT1),Cortex,Cortex pyramidal layer 6b,nan
TEGLU3,2734,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,Glutamate (VGLUT1),Cortex,Cortex pyramidal layer 6,nan
TEGLU14,35,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,Glutamate (VGLUT1),Cortex,Subiculum,nan
TEGLU13,127,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,"Glutamate (VGLUT1,VGLUT2), Nitric oxide",Cortex,Subiculum,nan
TEGLU21,104,"Excitatory neurons, hippocampus CA1",Neurons,CNS neurons,"Glutamate (VGLUT1), Nitric oxide",Hippocampus,"CA1 (posterior),subiculum,entorhinal",nan
TEGLU10,866,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,Glutamate (VGLUT1),Cortex,Cortical pyramidal layer 5,nan
TEGLU11,1464,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,Glutamate (VGLUT1),Cortex,Cortical pyramidal (poor markers),nan
TEGLU20,55,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,Glutamate (VGLUT1),Cortex,Cortex pyramidal layer 6,nan
TEGLU12,386,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,"Glutamate (VGLUT1,VGLUT2)",Cortex,"Lateral cortex layer 6: gustatory, barrel field, auditory",nan
TEGLU9,202,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,Glutamate (VGLUT1),Cortex,"Cingulate/Retrosplenial area, layer 5",nan
TEGLU8,3071,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,Glutamate (VGLUT1),Cortex,Cortical pyramidal layer 4,nan
TEGLU7,2435,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,Glutamate (VGLUT1),Cortex,Cortical pyramidal layer 2/3,nan
TEINH10,581,"R-LM border Cck interneurons, cortex/hippocampus",Neurons,CNS neurons,"GABA, Glutamate (VGLUT3)","Hippocampus,Cortex","Hippocampus (sr/slm),Cortex",nan
TEINH11,660,"R-LM border Cck interneurons, cortex/hippocampus",Neurons,CNS neurons,"GABA,Glutamate (VGLUT3), Nitric oxide","Hippocampus,Cortex","Hippocampus (sr/slm),Cortex",nan
TEINH12,280,"Non-border Cck interneurons, cortex/hippocampus",Neurons,CNS neurons,"GABA,Glutamate (VGLUT3)","Hippocampus,Cortex","Hippocampus,Cortex",nan
TEINH9,162,"Non-border Cck interneurons, hippocampus",Neurons,CNS neurons,GABA,Hippocampus,Hippocampus,nan
OBINH5,56,"External plexiform layer interneuron, olfactory bulb",Neurons,CNS neurons,GABA,Olfactory bulb,"Olfactory bulb, outer plexiform layer",Likely van Gehuchten cells
TEINH5,449,"Interneuron-selective interneurons, cortex/hippocampus",Neurons,CNS neurons,"GABA, Nitric oxide","Hippocampus,Cortex","Hippocampus,Cortex",nan
TEINH6,145,"Interneuron-selective interneurons, cortex/hippocampus",Neurons,CNS neurons,GABA,"Hippocampus,Cortex","Hippocampus,Cortex",nan
TEINH7,68,"Interneuron-selective interneurons, hippocampus",Neurons,CNS neurons,GABA,Hippocampus,Hippocampus,nan
TEINH8,57,"Interneuron-selective interneurons, hippocampus",Neurons,CNS neurons,GABA,Hippocampus,Hippocampus,nan
TEINH4,645,"Interneuron-selective interneurons, cortex/hippocampus",Neurons,CNS neurons,GABA,"Hippocampus,Cortex","Hippocampus,Cortex",nan
TEINH20,139,"Inhibitory interneurons, hippocampus",Neurons,CNS neurons,GABA,Hippocampus,Hippocampus (sr/slm),"May also be located to the hilus of the dentate gyrus, based on Slc18a2"
TEINH13,163,"Trilaminar cells, hippocampus",Neurons,CNS neurons,"GABA, Glutamate (VGLUT3)",Hippocampus,Hippocampus,nan
TEINH14,422,"CGE-derived neurogliaform cells Cxcl14+, cortex/hippocampus",Neurons,CNS neurons,GABA,"Hippocampus,Cortex","Hippocampus,Cortex",nan
TEINH16,644,"Ivy and MGE-derived neurogliaform cells, cortex/hippocampus",Neurons,CNS neurons,"GABA, Nitric oxide","Hippocampus,Cortex","Hippocampus,Cortex",nan
TEINH15,1069,"CGE-derived neurogliaform cells, cortex/hippocampus",Neurons,CNS neurons,"GABA, Nitric oxide","Hippocampus,Cortex","Hippocampus,Cortex",nan
TEINH19,1040,"Hippocamposeptal projection, cortex/hippocampus",Neurons,CNS neurons,GABA,"Hippocampus,Cortex","Hippocampus (so),Cortex",nan
TEINH21,385,"Sleep-active, long-range projection interneurons, cortex/hippocampus",Neurons,CNS neurons,"GABA, Nitric oxide","Hippocampus,Cortex","Hippocampus,Cortex",nan
HYPEP7,13,"Pmch neurons, hypothalamus",Neurons,CNS neurons,Glutamate (VGLUT2),Hypothalamus,Lateral hypothalamic area,nan
HYPEP6,32,"Orexin-producing neurons, hypothalamus",Neurons,CNS neurons,Nitric oxide,Hypothalamus,Dorsomedial nucleus of the hypothalamus,nan
DEINH8,120,"Inhibitory neurons, hypothalamus",Neurons,CNS neurons,GABA,Hypothalamus,"Suprachiasmatic nucleus, Medial preoptic nucleus",nan
MBDOP1,57,"Dopaminergic neurons, periaqueductal grey",Neurons,CNS neurons,Dopamine,Midbrain ventral,"Ventral midbrain, periaqueductal grey","Th but very low Slc6a3, neither VGLUT1,2 or 3; no Gad1 or Gad2"
MBDOP2,63,"Dopaminergic neurons, ventral midbrain (SNc, VTA)",Neurons,CNS neurons,Dopamine,Midbrain ventral,Ventral tegmental area and subtantia nigra,nan
MEGLU14,47,Glutamatergic projection neurons of the raphe nucleus,Neurons,CNS neurons,Glutamate (VGLUT3),Midbrain dorsal,Dorsal raphe nucleus,https://www.ncbi.nlm.nih.gov/pubmed/18925658
MEGLU11,249,"Excitatory neurons, midbrain",Neurons,CNS neurons,Glutamate (VGLUT1),Midbrain dorsal,Inferior colliculus,nan
MEGLU10,419,"Excitatory neurons, midbrain",Neurons,CNS neurons,"Glutamate (VGLUT1), Nitric oxide",Midbrain dorsal,Inferior colliculus,Poor markers
MEGLU9,243,"Excitatory neurons, midbrain",Neurons,CNS neurons,"Glutamate (VGLUT1), Nitric oxide",Midbrain dorsal,Mantle of inferior colliculus,nan
MEGLU8,305,"Excitatory neurons, midbrain",Neurons,CNS neurons,"Glutamate (VGLUT1), Nitric oxide",Midbrain dorsal,Inferior colliculus,Poor markers
MEGLU7,138,"Excitatory neurons, midbrain",Neurons,CNS neurons,Glutamate (VGLUT1),Midbrain dorsal,Inferior colliculus,Poor markers
MEGLU6,143,"Excitatory neurons, midbrain",Neurons,CNS neurons,Glutamate (VGLUT1),Midbrain dorsal,"Superior colliculus, sensory related, deep layer",nan
DEGLU5,426,"Excitatory neurons, midbrain",Neurons,CNS neurons,Glutamate (VGLUT1),Midbrain dorsal,Anterior pretectal nucleus,"doi:10.1007/s00429-011-0348-3 Very similar to Thalamus cluster, changed"
MEGLU2,336,"Excitatory neurons, midbrain",Neurons,CNS neurons,Glutamate (VGLUT1),Midbrain dorsal,Periaqueductal grey,nan
MEGLU3,137,"Excitatory neurons, midbrain",Neurons,CNS neurons,Glutamate (VGLUT1),Midbrain dorsal,Periaqueductal grey,nan
MEGLU1,263,"Excitatory neurons, midbrain",Neurons,CNS neurons,Glutamate (VGLUT1),Midbrain dorsal,"Superior colliculus, red nucleus",Should split in two clusters(other side has Cbln1)
MEGLU5,281,"Excitatory neurons, midbrain",Neurons,CNS neurons,Glutamate (VGLUT1),Midbrain dorsal,"Superior colliculus, sensory related",nan
MEGLU4,136,"Excitatory neurons, midbrain",Neurons,CNS neurons,"Glutamate (VGLUT1), Nitric oxide",Midbrain dorsal,"Superior colliculus, sensory related",nan
DEGLU4,101,"Excitatory neurons, thalamus",Neurons,CNS neurons,Glutamate (VGLUT2),Thalamus,Parafascicular nucleus,nan
DEGLU3,1113,"Excitatory neurons, thalamus",Neurons,CNS neurons,Glutamate (VGLUT2),Thalamus,Paraventricular nucleus of the thalamus,nan
OBNBL1,139,"Neuroblasts, olfactory",Neurons,CNS neurons,Glutamate (VGLUT1),Olfactory bulb,"Main olfactory bulb mitral layer, Main olfactory bulb outer plexiform layer",nan
MBCHO1,62,"Cholinergic neurons, midbrain red nucleus",Neurons,CNS neurons,Acetylcholine,Midbrain ventral,Red nucleus,"Low Chat,Slc5a7 (but see https://www.ncbi.nlm.nih.gov/pubmed/3708316)"
HBGLU9,97,"Excitatory neurons, hindbrain",Neurons,CNS neurons,Glutamate (VGLUT2),Medulla,Spinal nucleus of the trigeminal,nan
SCGLU1,52,"Excitatory neurons, spinal cord",Neurons,CNS neurons,Glutamate (VGLUT2),Spinal cord,Dorsal horn lamina 4-6,correspond to Glut14 in C1 data.
HBGLU10,80,"Excitatory neurons, hindbrain",Neurons,CNS neurons,Glutamate (VGLUT2),Medulla,Nucleus of the solitary tract,nan
SCGLU10,68,"Excitatory neurons, spinal cord",Neurons,CNS neurons,Glutamate (VGLUT2),Spinal cord,Dorsal horn lamina 2-4,correspond to Glut1 in C1 data. Might include some Glut4.
HBGLU2,200,"Excitatory neurons, hindbrain",Neurons,CNS neurons,"Glutamate (VGLUT2), Nitric oxide",Medulla,Nucleus of the solitary tract,nan
HBGLU3,107,"Excitatory neurons, hindbrain",Neurons,CNS neurons,"Glutamate (VGLUT2), Nitric oxide",Medulla,Nucleus of the solitary tract,nan
HBNOR,23,Noradrenergic neurons of the medulla,Neurons,CNS neurons,"Noradrenaline, Nitric oxide",Medulla,A1-2 noradrenergic cell groups,nan
HBGLU1,52,"Excitatory neurons, hindbrain",Neurons,CNS neurons,"Glutamate (VGLUT2, VGLUT3)",Medulla,Inferior olivary complex,nan
DEGLU2,257,"Excitatory neurons, hypothalamus",Neurons,CNS neurons,"Glutamate (VGLUT1,VGLUT2)",Hypothalamus,Subparafascicular nucleus,nan
DEGLU1,1058,"Excitatory neurons, thalamus",Neurons,CNS neurons,"Glutamate (VGLUT1,VGLUT2)",Thalamus,Posterior thalamus,nan
MSN1,869,"D1 medium spiny neurons, striatum",Neurons,CNS neurons,GABA,Striatum dorsal,Striatum dorsal,nan
MSN2,1094,"D2 medium spiny neurons, striatum",Neurons,CNS neurons,GABA,Striatum dorsal,Striatum dorsal,nan
MSN3,1247,"D2 medium spiny neurons, striatum",Neurons,CNS neurons,GABA,Striatum ventral,Striatum ventral,nan
MSN5,372,"Patch D1/D2 neurons, striatum",Neurons,CNS neurons,GABA,Striatum ventral,Striatum ventral,nan
MSN4,1584,"D1 medium spiny neurons, striatum",Neurons,CNS neurons,GABA,Striatum ventral,Striatum ventral,nan
MSN6,525,"Matrix D1 neurons, striatum",Neurons,CNS neurons,GABA,Striatum ventral,Striatum ventral,"contain markers similar to RGL, might be involve in neurogenesis"
OEC,2031,Olfactory ensheathing cells,Astrocytes,Neural crest-like glia,NA,Olfactory bulb,Olfactory bulb,nan
DETPH,7,"Neuroblast-like, habenula",Neurons,CNS neurons,NA,Thalamus,Medial habenula,Tph1
RGDG,327,Dentate gyrus radial glia-like cells,Astrocytes,CNS glia,NA,Dentate gyrus,Dentate gyrus subgranular zone,nan
RGSZ,756,Subventricular zone radial glia-like cells,Astrocytes,CNS glia,NA,"Striatum dorsal,Striatum ventral","Striatum, rostral migragtory stream, olfactory bulb",nan
OPC,820,Oligodendrocytes precursor cells,Oligos,Neural crest-like glia,NA,CNS,CNS,nan
SZNBL,971,Neuronal intermidate progenitor cells,Neurons,CNS neurons,NA,"Striatum dorsal, Striatum ventral, Dentate gyrus","Sub ventricular zone, Dentate gyrus",nan
EPMB,69,"Ependymal cells, midbrain",Ependymal,CNS glia,NA,Midbrain dorsal,Dorsal midbrain pia,"Gfap high, no Aqp4,Gja1,Foxj1"
HYPEN,111,"Hypendymal cell, subcommissural organ",Ependymal,CNS glia,NA,Subcommissural organ,Subcommissural organ,nan
OBDOP2,281,"Dopaminergic neurons, olfactory nulb",Neurons,CNS neurons,"GABA,Dopamine",Olfactory bulb,Olfactory bulb,Confusing stainings in Allen
OBINH2,1800,"Inner horizontal cell, olfactory bulb",Neurons,CNS neurons,GABA,Olfactory bulb,"Olfactory bulb, mitral cell layer",nan
OBINH3,786,"Inhibitory neurons, olfactory bulb",Neurons,CNS neurons,GABA,Olfactory bulb,Accessory olfactory bulb granular layer,nan
OBINH1,353,"Inhibitory neurons, olfactory bulb",Neurons,CNS neurons,GABA,Olfactory bulb,Main and accessory olfactory bulb granular layer,nan
OBINH4,465,"Inhibitory neurons, olfactory bulb",Neurons,CNS neurons,GABA,Olfactory bulb,"Olfactory bulb, inner granular layer",nan
OBNBL2,225,"Neuroblasts, olfactory bulb",Neurons,CNS neurons,Glutamate (VGLUT2),Olfactory bulb,"Main olfactory bulb mitral layer, Main olfactory bulb outer plexiform layer",nan
TEGLU6,598,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,"Glutamate (VGLUT1,VGLUT2)",Cortex,"Cingulate/Retrosplenial area, layer 2",nan
TEGLU1,402,"Excitatory neurons, cerebral cortex",Neurons,CNS neurons,"Glutamate (VGLUT1, VGLUT3)",Cortex,"Cingulate/Retrosplenial area, layer 6",nan
DGGRC2,3385,"Granule neurons, dentate gyrus",Neurons,CNS neurons,Glutamate (VGLUT1),Dentate gyrus,Dentate gyrus,nan
DGGRC1,983,"Granule neuroblasts, dentate gyrus",Neurons,CNS neurons,Glutamate (VGLUT1),Dentate gyrus,Dentate gyrus,nan
DGNBL1,159,"Granule neuroblasts, dentate gyrus",Neurons,CNS neurons,NA,Dentate gyrus,Dentate gyrus,nan
DGNBL2,1445,"Granule neuroblasts, dentate gyrus",Neurons,CNS neurons,NA,Dentate gyrus,Dentate gyrus,nan
OBNBL3,2240,"Neuroblasts, olfactory bulb",Neurons,CNS neurons,GABA,Olfactory bulb,Olfactory bulb,nan
HYPEP3,152,"Peptidergic neurons, hypothalamus",Neurons,CNS neurons,"Glutamate (VGLUT2), Nitric oxide",Hypothalamus,Ventromedial hypothalamic nucleus,should be split to Th/GABA and Glut
HYPEP2,43,"Peptidergic neurons, hypothalamus",Neurons,CNS neurons,Nitric oxide,Hypothalamus,Paraventricular hypothalamic nucleus,nan
HYPEP1,191,"Peptidergic neurons, hypothalamus",Neurons,CNS neurons,Glutamate (VGLUT2),Hypothalamus,Lateral hypothalamic area,nan
CBNBL2,293,"Neuroblasts, cerebellum",Neurons,CNS neurons,NA,Cerebellum,Cerabellum,nan
CBGRC,4193,"Granule neurons, cerebellum",Neurons,CNS neurons,Glutamate (VGLUT1),Cerebellum,Cerebellum,Almost half are clearly Calb2-negative
CR,222,"Cajal-Retzius cells, hippocampus",Neurons,CNS neurons,Glutamate (VGLUT2),Dentate gyrus,Dentate gyrus molecular layer,nan
CBNBL1,163,"Neuroblasts, cerebellum",Neurons,CNS neurons,Glutamate (VGLUT2),"Pons,Medullae,Cerebellum","Hindbrain (pons, medulla cerabellum)",nan
SEPNBL,117,"Neuroblasts, septum",Neurons,CNS neurons,Glutamate (VGLUT1),Pallidum,Triangular nucleus of septum,nan
OBNBL5,871,"Inhibitory neurons, olfactory bulb",Neurons,CNS neurons,GABA,Olfactory bulb,"Main olfactory bulb, glomerular layer and Accessory olfactory bulb, granular layer",nan
OBNBL4,208,"Inhibitory neurons, olfactory bulb",Neurons,CNS neurons,GABA,Olfactory bulb,"Main olfactory bulb, glomerular layer",nan
DECHO2,207,"Cholinergic neurons, habenula",Neurons,CNS neurons,"Acetylcholine,Glutamate (VGLUT1,VGLUT3)",Thalamus,Habenula,nan
HYPEP5,173,"Vasopressin-producing cells, hypothalamus",Neurons,CNS neurons,Glutamate (VGLUT2),Hypothalamus,Paraventricular hypothalamic nucleus magnocellular division and/or Diagonal band nucleus,nan
DEINH7,182,"Inhibitory neurons, hypothalamus",Neurons,CNS neurons,GABA,Hypothalamus,"Suprachiasmatic nucleus, Medial preoptic nucleus",nan
HYPEP4,98,"Oxytocin-producing cells, hypothalamus",Neurons,CNS neurons,Nitric oxide,Hypothalamus,Dorsomedial nucleus of the hypothalamus. magnocellular neurosecretory cells.,nan
HBGLU8,11,"Excitatory neurons, hindbrain",Neurons,CNS neurons,"Glutamate (VGLUT1,VGLUT2), Nitric oxide",Pons,Tegmental reticular nucleus,merge with 10
HBGLU6,252,"Excitatory neurons, hindbrain",Neurons,CNS neurons,"Glutamate (VGLUT1,VGLUT2), Nitric oxide",Pons,Pontine gray,nan
HBGLU7,275,"Excitatory neurons, hindbrain",Neurons,CNS neurons,"Glutamate (VGLUT1,VGLUT2), Nitric oxide",Pons,Tegmental reticular nucleus,nan
HBGLU5,130,"Excitatory neurons, hindbrain",Neurons,CNS neurons,"Glutamate (VGLUT1), Nitric oxide",Pons,"Pontine reticular nucleus, caudal part",nan
HBGLU4,7,"Excitatory neurons, hindbrain",Neurons,CNS neurons,"Glutamate (VGLUT2), Nitric oxide",Medulla,Medial vestibular nucleus and Nucleus prepositus,nan
HBCHO2,22,"Cholinergic neurons, hindbrain",Neurons,CNS neurons,"Acetylcholine, Glutamate (VGLUT2), Nitric oxide",Pons,"Medial pontine nuclei, reticulotegmental nuclei","Low Chat,Slc5a7"
HBCHO1,10,"Cholinergic neurons, hindbrain",Neurons,CNS neurons,"Acetylcholine,Glutamate (VGLUT2)",Medulla,Medulla (several nuclei),nan
HBCHO3,72,Afferent nuclei of cranial nerves VI-XII,Neurons,CNS neurons,"Acetylcholine, Nitric oxide",Medulla,Afferent nuclei of cranial nerves VI-XII,nan
HBADR,40,Adrenergic cell groups of the medulla,Neurons,CNS neurons,"Adrenaline, Glutamate (VGLUT3)",Medulla,"Nucleus of the solitary tract, adrenergic cell groups C1-3",nan
HBCHO4,52,Afferent nuclei of cranial nerves III-V,Neurons,CNS neurons,"Acetylcholine, Nitric oxide",Pons,Afferent nuclei of cranial nerves III-V,nan
TECHO,121,"Cholinergic interneurons, telencephalon",Neurons,CNS neurons,"Acetylcholine, Glutamate (VGLUT3), Nitric oxide","Striatum dorsal, Striatum ventral,Amygdala","Striatum,Amygdala",nan
DECHO1,114,"Cholinergic neurons, septal nucleus, Meissnert and diagonal band",Neurons,CNS neurons,"Acetylcholine, Glutamate (VGLUT3), Nitric oxide",Hypothalamus,"Medial septal nuclues, diagonal band nucleus and nucleus basalis of Meissnert",nan
SCINH1,18,"Inhibitory neurons, spinal cord",Neurons,CNS neurons,"GABA, Glycine (GLYT2)",Spinal cord,"Dorsal horn, lamina 2-3,6","correspond to Gaba14,15 in C1 data."
HBINH8,11,"Inhibitory neurons, hindbrain",Neurons,CNS neurons,"GABA, Glycine (GLYT1,GLYT2)",Medulla,Spinal nucleus of the trigeminal,nan
HBINH7,25,"Inhibitory neurons, hindbrain",Neurons,CNS neurons,"GABA, Glycine (GLYT1,GLYT2)",Pons,Superior olivary complex,nan
HBINH5,480,"Inhibitory neurons, hindbrain",Neurons,CNS neurons,"GABA, Glycine (GLYT1,GLYT2)",Medulla,Gigantocellular reticular nucleus,nan
CBINH2,17,"Granular layer interneurons, cerebellum",Neurons,CNS neurons,"GABA, Glycine (GLYT2)",Cerebellum,"Cerebellum, granular layer",nan
CBPC,84,Purkinje cells,Neurons,CNS neurons,GABA,Cerebellum,"Cerebellum, border of granular layer and molecular layer",nan
CBINH1,662,"Molecular layer interneurons, cerebellum",Neurons,CNS neurons,"GABA, Nitric oxide",Cerebellum,"Cerebellum, molecular layer",nan
MEINH1,43,"Inhibitory neurons, midbrain",Neurons,CNS neurons,"GABA, Nitric oxide",Midbrain ventral,"VTA, Substantia nigra, central nucleus raphe",nan
TEINH17,675,"Axo-axonic, cortex/hippocampus",Neurons,CNS neurons,GABA,"Hippocampus,Cortex","Hippocampus,Cortex",nan
TEINH18,547,"Basket and bistratified cells, cortex/hippocampus",Neurons,CNS neurons,"GABA, Nitric oxide","Hippocampus,Cortex","Hippocampus,Cortex",nan
DEINH2,167,"Inhibitory neurons, thalamus",Neurons,CNS neurons,GABA,Thalamus,Reticular nucleus of the thalamus,nan
DEINH1,339,"Inhibitory neurons, thalamus",Neurons,CNS neurons,GABA,Thalamus,Reticular nucleus of the thalamus (Sst low),nan
DEINH6,12,"Peptidergic neurons, hypothalamus",Neurons,CNS neurons,GABA,Hypothalamus,"Arcuate hypothalamic nucleus (probably, Npy, Agrp cells)",nan
MEINH13,70,"Inhibitory neurons, midbrain",Neurons,CNS neurons,GABA,Midbrain ventral,"Ventral/caudal midbrain (SN, VTA, reticular nucleus)",nan
MEINH8,71,"Inhibitory neurons, midbrain",Neurons,CNS neurons,GABA,Midbrain dorsal,"Superior colliculus superficial grey layer; Erdinger-Westphal nucleus, periaqueductal grey, nucleus of the optic tract",Mixed cluster should be split in two
MEINH14,21,"Inhibitory neurons, midbrain",Neurons,CNS neurons,GABA,Midbrain ventral,"Midbrain reticular nucleus, Darkschewitz nucleus,",nan
DEINH4,57,"Inhibitory neurons, thalamus",Neurons,CNS neurons,"GABA, Nitric oxide",Thalamus,Paraventricular nucleus of the thalamus (best fit) but do not fit with Nmu expression,nan
DEINH5,308,"Peptidergic neurons, hypothalamus",Neurons,CNS neurons,GABA,Hypothalamus,"Medial preoptic nucleus, Bed nuclei of the stria terminalis anterior division",nan
TEINH2,1339,"Inhibitory neurons, septal nucleus",Neurons,CNS neurons,GABA,"Striatum dorsal, Striatum ventral",Septal nucleus,nan
TEINH1,576,"Inhibitory neurons, pallidum",Neurons,CNS neurons,GABA,Pallidum,Medial septal nucleus and Magnocellular nucleus,nan
