Name	Coefficient	Coefficient_std_error	Coefficient_P_value
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU21.sem_mean	2.22445152796e-08	6.63388359939e-09	0.000399463362263
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEINH3.sem_mean	1.90573267014e-08	5.78136724669e-09	0.000489774620247
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBGLU2.sem_mean	1.96652540601e-08	5.99132195154e-09	0.000514838876954
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBINH5.sem_mean	1.61940087096e-08	4.95780957875e-09	0.00054469138703
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEGLU2.sem_mean	2.40769965291e-08	7.39210473251e-09	0.000562737673916
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH1.sem_mean	1.73272098732e-08	5.3965258043e-09	0.000661810992547
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.DEINH5.sem_mean	2.31540273166e-08	7.34939753416e-09	0.000815051043167
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEGLU7.sem_mean	1.61315197769e-08	5.13837787616e-09	0.000846416798663
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBGLU3.sem_mean	1.99913501981e-08	6.42648871733e-09	0.000932990329316
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBGLU5.sem_mean	1.70403285074e-08	5.53535765881e-09	0.00104039797969
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEGLU8.sem_mean	2.16965569147e-08	7.10058651898e-09	0.00112305093459
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEINH13.sem_mean	1.85091887332e-08	6.09947481242e-09	0.00120445614223
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBINH3.sem_mean	2.13236796256e-08	7.35860412223e-09	0.00187901862154
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH11.sem_mean	1.37024917597e-08	4.74429578494e-09	0.00193724549496
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBCHO2.sem_mean	1.84026607796e-08	6.41125732554e-09	0.00204997885462
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU24.sem_mean	1.23856754084e-08	4.4470734358e-09	0.00267531745799
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU10.sem_mean	1.12457333968e-08	4.03983269378e-09	0.00268703102777
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU19.sem_mean	1.48054675947e-08	5.34757747129e-09	0.00281461939897
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.CBGRC.sem_mean	1.7226540596e-08	6.2491479972e-09	0.00292008858678
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBGLU9.sem_mean	1.20264397122e-08	4.437167975e-09	0.00336024331947
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEINH7.sem_mean	1.57675830067e-08	5.83673837324e-09	0.00345202437032
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH15.sem_mean	1.19696684619e-08	4.45054008416e-09	0.00357809969549
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBCHO4.sem_mean	1.94085037083e-08	7.24063766514e-09	0.00367565198122
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TECHO.sem_mean	1.54694659972e-08	5.77765965219e-09	0.00370910983431
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEINH4.sem_mean	2.65070324289e-08	9.92302159514e-09	0.00377828440423
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEGLU6.sem_mean	1.39489253806e-08	5.2483763104e-09	0.00393309273699
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBINH8.sem_mean	1.51309891333e-08	5.77808445524e-09	0.00441345720038
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBNOR.sem_mean	2.44846648252e-08	9.36046347217e-09	0.00445154064534
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBCHO3.sem_mean	1.72126076064e-08	6.60755472868e-09	0.00459386003161
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEGLU9.sem_mean	1.32296362999e-08	5.09270005124e-09	0.00469163873351
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBINH9.sem_mean	1.50640443237e-08	5.85250542199e-09	0.0050272699189
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH17.sem_mean	1.5808275626e-08	6.17180582183e-09	0.00521301908103
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.DGGRC2.sem_mean	9.95031394669e-09	3.90602054717e-09	0.00542598102337
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MSN1.sem_mean	9.13373282302e-09	3.61883134839e-09	0.00580229714431
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU9.sem_mean	1.16322429359e-08	4.67841224895e-09	0.00645276666272
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCINH8.sem_mean	1.65392625222e-08	6.70601388727e-09	0.00682522058078
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCINH2.sem_mean	3.56598183027e-08	1.45029935496e-08	0.0069703030314
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCINH10.sem_mean	1.80111218092e-08	7.33150517291e-09	0.00701148396949
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBINH4.sem_mean	1.21807056028e-08	4.95968088988e-09	0.00702572470259
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU2.sem_mean	1.04498918256e-08	4.34875851809e-09	0.00813148793068
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.DEGLU1.sem_mean	9.00203522762e-09	3.75403499745e-09	0.00824327601315
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU3.sem_mean	9.92836773763e-09	4.17105239548e-09	0.00864920828297
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBINH2.sem_mean	1.57182235978e-08	6.67141839867e-09	0.00923511030052
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU6.sem_mean	1.11003672638e-08	4.72345121591e-09	0.00938533401469
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH18.sem_mean	1.03740149377e-08	4.49365422333e-09	0.0104831115315
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBSER3.sem_mean	1.40361749957e-08	6.09052434581e-09	0.0105947111803
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU20.sem_mean	1.0908011923e-08	4.74790300765e-09	0.0107969032612
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HYPEP1.sem_mean	1.37659035679e-08	5.99200978888e-09	0.0107986453949
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEGLU4.sem_mean	1.20247467098e-08	5.27402107323e-09	0.0113039642129
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU11.sem_mean	9.70727765358e-09	4.28330869269e-09	0.0117164024156
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBINH7.sem_mean	1.39504946338e-08	6.15699807778e-09	0.0117319729422
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH19.sem_mean	9.8293457337e-09	4.34284080702e-09	0.0118072243335
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.OBNBL2.sem_mean	1.29229070585e-08	5.71125214015e-09	0.011826787455
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.DEINH6.sem_mean	1.73020918677e-08	7.64673118952e-09	0.0118277671979
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEINH12.sem_mean	3.11574181868e-08	1.38462934562e-08	0.0122170065721
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH4.sem_mean	1.20007726561e-08	5.3664518703e-09	0.0126674274109
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU5.sem_mean	9.1861366637e-09	4.15436018505e-09	0.0135108667161
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.PSNF1.sem_mean	1.17706218617e-08	5.35517328454e-09	0.0139748791146
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.DECHO1.sem_mean	9.60808149322e-09	4.416588285e-09	0.0147980825904
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEINH9.sem_mean	1.06453139471e-08	4.93129497361e-09	0.0154357209324
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU13.sem_mean	1.0013056777e-08	4.64594256941e-09	0.0155720719481
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH9.sem_mean	1.25978755525e-08	5.84916140154e-09	0.0156282536172
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCINH4.sem_mean	1.22612186531e-08	5.71102202633e-09	0.0158990500549
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU15.sem_mean	9.60157967091e-09	4.48945985321e-09	0.0162302400903
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.ENT8.sem_mean	1.51543366412e-08	7.11369878266e-09	0.0165732868805
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU18.sem_mean	9.69271929203e-09	4.55684478159e-09	0.0167072115596
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBGLU6.sem_mean	1.03824017393e-08	4.88794429433e-09	0.0168315817133
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.OBINH5.sem_mean	1.89135560634e-08	8.95054949451e-09	0.0172953881624
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.OBNBL1.sem_mean	1.1085489256e-08	5.24629835494e-09	0.0172998877232
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBINH6.sem_mean	1.4356678801e-08	6.80323624578e-09	0.01741746796
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH13.sem_mean	1.11004786199e-08	5.27281343857e-09	0.0176356989462
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH3.sem_mean	2.19611385476e-08	1.05774492526e-08	0.018936686792
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBGLU1.sem_mean	1.31882299275e-08	6.47195311168e-09	0.0207874127412
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU8.sem_mean	7.92866992399e-09	3.91615917627e-09	0.0214540427106
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEGLU14.sem_mean	1.12098338221e-08	5.58702506854e-09	0.0224065391977
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.DEINH7.sem_mean	2.05250356595e-08	1.02780655932e-08	0.0229139725597
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MBCHO1.sem_mean	1.2655056906e-08	6.35525884666e-09	0.0232254276053
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEINH6.sem_mean	1.26082368863e-08	6.334286127e-09	0.02326932886
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.DGGRC1.sem_mean	8.67939539874e-09	4.36706901098e-09	0.0234354633036
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.PSPEP3.sem_mean	9.96912613513e-09	5.13841628826e-09	0.0261827676575
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HYPEP5.sem_mean	1.14596519113e-08	5.97771796637e-09	0.0276150707685
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.ENT9.sem_mean	8.40312083359e-09	4.39012652108e-09	0.0278039857166
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU12.sem_mean	7.38861447982e-09	3.86835996018e-09	0.0280658252241
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.DEINH1.sem_mean	8.46084125597e-09	4.47496179211e-09	0.0293317386678
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HYPEP3.sem_mean	1.00276520726e-08	5.30588192039e-09	0.0293848379499
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEGLU5.sem_mean	1.13218556925e-08	5.99765840024e-09	0.0295322679263
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCGLU3.sem_mean	1.84569765207e-08	9.83371016324e-09	0.0302653016122
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBGLU7.sem_mean	8.63609525474e-09	4.60494768044e-09	0.0303692102081
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH16.sem_mean	8.05985967813e-09	4.32910476727e-09	0.0313167438433
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.PSPEP1.sem_mean	9.17696601585e-09	4.93878889204e-09	0.0315744985658
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH2.sem_mean	9.62054646493e-09	5.24351917489e-09	0.0332713748865
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH5.sem_mean	1.02118315242e-08	5.60519656679e-09	0.0342388180422
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU7.sem_mean	7.12829321143e-09	3.95325975055e-09	0.0356828685444
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCINH3.sem_mean	2.70198409062e-08	1.50794929484e-08	0.0365803502494
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.DEINH4.sem_mean	9.17229217961e-09	5.12805599965e-09	0.0368356814858
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEINH10.sem_mean	9.24707779075e-09	5.18795325789e-09	0.037340914906
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.DEINH2.sem_mean	1.36344969705e-08	7.78241032947e-09	0.0398900628189
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCINH7.sem_mean	9.45226247993e-09	5.40674798923e-09	0.0402117291515
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.CBINH1.sem_mean	9.1818902951e-09	5.28730322992e-09	0.0412295761635
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MBDOP1.sem_mean	2.27420057286e-08	1.33285258277e-08	0.0439793156429
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SEPNBL.sem_mean	1.17611473597e-08	6.90426759192e-09	0.0442409588172
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBSER2.sem_mean	8.14989843168e-09	4.82566323837e-09	0.045622558877
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.DEGLU3.sem_mean	6.57770887065e-09	3.93548401183e-09	0.0473228302656
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEINH11.sem_mean	1.17966326622e-08	7.35353370175e-09	0.0543335805275
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.PSPEP2.sem_mean	7.38047638407e-09	4.60673316434e-09	0.054566048739
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCGLU6.sem_mean	8.34098378193e-09	5.2969175435e-09	0.0576644294093
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MSN2.sem_mean	5.83115376361e-09	3.73347867445e-09	0.0591610306871
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH10.sem_mean	7.93173176154e-09	5.07919000468e-09	0.0591895317318
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MSN5.sem_mean	7.96391658295e-09	5.12358121212e-09	0.0600486588655
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBSER4.sem_mean	1.00575705086e-08	6.47619606174e-09	0.060210865952
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCGLU4.sem_mean	1.56072670866e-08	1.00536119847e-08	0.0602827979175
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.PSNP5.sem_mean	8.42491542374e-09	5.5300869291e-09	0.063820718464
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH20.sem_mean	8.89292683024e-09	5.86540468731e-09	0.0647386986388
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.PSNP6.sem_mean	6.71626488918e-09	4.47868709366e-09	0.066858279518
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH7.sem_mean	9.80161620524e-09	6.54665993892e-09	0.0671714680743
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH8.sem_mean	1.2170246459e-08	8.13255511871e-09	0.0672636615614
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU1.sem_mean	6.45186380124e-09	4.32042445532e-09	0.0676740703653
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCINH9.sem_mean	1.23217496213e-08	8.57820733905e-09	0.0754440677278
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MSN4.sem_mean	6.8878627335e-09	4.80003562247e-09	0.0756491408167
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH14.sem_mean	6.51794786469e-09	4.63240591883e-09	0.0797088060405
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBCHO1.sem_mean	1.44477848079e-08	1.02996301166e-08	0.0803460098285
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCGLU1.sem_mean	9.28469701585e-09	6.67422188166e-09	0.0820933059931
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HYPEP4.sem_mean	8.98995569842e-09	6.53159865072e-09	0.0843521516868
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HYPEP2.sem_mean	8.39853892004e-09	6.14705219856e-09	0.0859269658629
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU22.sem_mean	5.10713588157e-09	3.78979953035e-09	0.0888934489196
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.ENT1.sem_mean	1.55825061445e-08	1.16095816654e-08	0.0897638243514
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEINH14.sem_mean	2.68520763083e-08	2.00895775692e-08	0.0906737995669
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.PSPEP4.sem_mean	5.70672081678e-09	4.31807627674e-09	0.0931525739761
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCGLU2.sem_mean	2.10255345025e-08	1.60821870412e-08	0.0955417924384
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBADR.sem_mean	7.46825736611e-09	5.7126731049e-09	0.0955530504928
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.DEINH8.sem_mean	9.87796205935e-09	7.58743037391e-09	0.0964778444337
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEINH8.sem_mean	9.5490552415e-09	7.35682083737e-09	0.0971459610372
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCINH5.sem_mean	7.83636055087e-09	6.14552090277e-09	0.101130968935
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.DECHO2.sem_mean	6.50693885171e-09	5.26674682472e-09	0.108326717413
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.PSNF3.sem_mean	6.77319080738e-09	5.52722532569e-09	0.11020788253
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.PSNF2.sem_mean	6.8557802627e-09	5.76100750345e-09	0.117017010455
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCINH11.sem_mean	7.50818632605e-09	6.33733634711e-09	0.118057308204
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.DEGLU2.sem_mean	5.09596361327e-09	4.30931458463e-09	0.118494521402
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBSER1.sem_mean	6.09787129795e-09	5.22263678581e-09	0.121487143291
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEINH1.sem_mean	7.34490440889e-09	6.34179809596e-09	0.123396558663
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HYPEP7.sem_mean	7.56440102836e-09	6.61713683543e-09	0.12648749842
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCGLU10.sem_mean	6.62282386885e-09	5.79385259394e-09	0.126503159914
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBGLU10.sem_mean	5.09042548187e-09	4.48431447282e-09	0.128153626056
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBGLU8.sem_mean	6.44185535575e-09	5.74795210519e-09	0.131203145223
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCGLU7.sem_mean	8.57153897901e-09	7.90236645594e-09	0.139031700773
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU16.sem_mean	5.05704405669e-09	4.69316659948e-09	0.140621004827
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.OBINH4.sem_mean	5.44491627815e-09	5.17308035744e-09	0.146274060535
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.PSPEP5.sem_mean	6.10967058565e-09	5.88221411933e-09	0.149479465201
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.CBINH2.sem_mean	6.22183865358e-09	6.14260275659e-09	0.15555410724
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.OBDOP1.sem_mean	5.87933263139e-09	5.81131980783e-09	0.15583991904
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.OBINH1.sem_mean	6.27843372533e-09	6.32526432093e-09	0.16045337341
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCINH1.sem_mean	6.34981301507e-09	6.4502459951e-09	0.162452167742
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH21.sem_mean	5.03997401179e-09	5.17017347942e-09	0.164825472944
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBGLU4.sem_mean	5.44137966798e-09	5.93487955803e-09	0.17961127091
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.CBNBL1.sem_mean	5.11412484612e-09	5.84975591929e-09	0.190992190346
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.PSPEP8.sem_mean	4.2545140928e-09	5.61461146163e-09	0.224298076798
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MSN3.sem_mean	2.40092375358e-09	3.55550226854e-09	0.249752143668
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH6.sem_mean	3.55834800043e-09	5.44625990151e-09	0.256763315143
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.OBNBL5.sem_mean	3.72784300434e-09	5.77986794976e-09	0.259473225367
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MBDOP2.sem_mean	2.96925430357e-09	4.64370529618e-09	0.26127653301
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEINH5.sem_mean	2.99337892316e-09	4.74096716552e-09	0.26389417841
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBINH1.sem_mean	3.67301395303e-09	6.45988928509e-09	0.284817967957
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCGLU9.sem_mean	3.0729544072e-09	5.87688134136e-09	0.300525880233
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU14.sem_mean	2.4938045521e-09	4.92929529914e-09	0.306458152244
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.OBINH3.sem_mean	2.47557747612e-09	5.21979211498e-09	0.317654601305
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCINH6.sem_mean	2.0362736574e-09	4.63050276515e-09	0.330058305015
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.SCGLU5.sem_mean	1.90708539863e-09	5.03716650656e-09	0.352491417229
