annotation,p.value.enrichment_combined_rare_mendelian_obesity,p.value.ldsc,Region,Probable_location,Description,fdr_significant_enrichment
MEINH10,0.00225492484353838,0.0448735857209,Midbrain dorsal,Superior colliculus superficial grey layer,"Inhibitory neurons, midbrain",FALSE
TEGLU4,0.00254044567333708,1.18591162457e-4,Cortex,"Cortex pyramidal layer 5, Cingulate/Retrosplenial area (superficial and deep)","Excitatory neurons, cerebral cortex",FALSE
HBGLU4,0.00275239625053654,0.14093724112,Medulla,Medial vestibular nucleus and Nucleus prepositus,"Excitatory neurons, hindbrain",FALSE
EPMB,0.00276015447992256,0.99963196097,Midbrain dorsal,Dorsal midbrain pia,"Ependymal cells, midbrain",FALSE
MEGLU10,0.00279636058489641,3.25819977017e-5,Midbrain dorsal,Inferior colliculus,"Excitatory neurons, midbrain",FALSE
TEGLU1,0.00292692061511904,0.0893005409474,Cortex,"Cingulate/Retrosplenial area, layer 6","Excitatory neurons, cerebral cortex",FALSE
MBDOP2,0.00293714595574097,0.42174128901,Midbrain ventral,Ventral tegmental area and subtantia nigra,"Dopaminergic neurons, ventral midbrain (SNc, VTA)",FALSE
HBINH5,0.00315447248400224,0.00137977071042,Medulla,Gigantocellular reticular nucleus,"Inhibitory neurons, hindbrain",FALSE
HYPEP2,0.00321246723763169,0.0852245641907,Hypothalamus,Paraventricular hypothalamic nucleus,"Peptidergic neurons, hypothalamus",FALSE
HBGLU5,0.00325012767625288,0.00703324694467,Pons,"Pontine reticular nucleus, caudal part","Excitatory neurons, hindbrain",FALSE
MEINH5,0.00378568950304073,0.31022831892,Midbrain dorsal,Superior colliculus (sparse),"Inhibitory neurons, midbrain",FALSE
HBGLU9,0.00431058556004795,0.0062389206851,Medulla,Spinal nucleus of the trigeminal,"Excitatory neurons, hindbrain",FALSE
TEGLU22,0.00492938134467668,0.0754782704287,Amygdala,Basolateral amygdala,"Excitatory neurons, amygdala",FALSE
MEINH12,0.00511655856964957,0.0144109821895,Midbrain dorsal,Superior colliculus,"Inhibitory neurons, midbrain",FALSE
DEINH8,0.00557971106253666,0.102746263115,Hypothalamus,"Suprachiasmatic nucleus, Medial preoptic nucleus","Inhibitory neurons, hypothalamus",FALSE
MEGLU4,0.00594341650926478,0.0257933214207,Midbrain dorsal,"Superior colliculus, sensory related","Excitatory neurons, midbrain",FALSE
MEGLU5,0.00636858688112117,0.0405324094833,Midbrain dorsal,"Superior colliculus, sensory related","Excitatory neurons, midbrain",FALSE
MEGLU11,0.00638530807173193,8.1096978232e-5,Midbrain dorsal,Inferior colliculus,"Excitatory neurons, midbrain",FALSE
MEINH14,0.00656130640924747,0.0867563797557,Midbrain ventral,"Midbrain reticular nucleus, Darkschewitz nucleus,","Inhibitory neurons, midbrain",FALSE
MEGLU3,0.00745689799660208,0.00192928002855,Midbrain dorsal,Periaqueductal grey,"Excitatory neurons, midbrain",FALSE
HBSER5,0.00805271746263229,0.00123605721729,Pons,"Nucleus raphe pons (pallidus, oscurus, magnus, B1-3)","Serotonergic neurons, hindbrain",FALSE
SEPNBL,0.00829806655660035,0.050534929819,Pallidum,Triangular nucleus of septum,"Neuroblasts, septum",FALSE
HBINH8,0.00846300603097329,0.00876009641313,Medulla,Spinal nucleus of the trigeminal,"Inhibitory neurons, hindbrain",FALSE
TEINH5,0.00871906591140012,0.0433549900266,"Hippocampus,Cortex","Hippocampus,Cortex","Interneuron-selective interneurons, cortex/hippocampus",FALSE
MSN1,0.00873955950811358,0.013177535632,Striatum dorsal,Striatum dorsal,"D1 medium spiny neurons, striatum",FALSE
TEGLU6,0.00897848839182028,0.0110840810998,Cortex,"Cingulate/Retrosplenial area, layer 2","Excitatory neurons, cerebral cortex",FALSE
ENT6,0.00916781264530423,0.59907187545,Enteric nervous system,Myenteric plexus of small intestine,Cholinergic enteric neurons,FALSE
TEGLU5,0.00946981782080238,0.0220976616583,Cortex,Entorhinal superficial layers,"Excitatory neurons, cerebral cortex",FALSE
ENT8,0.00948355620699097,0.0542214660897,Enteric nervous system,Myenteric plexus of small intestine,"Cholinergic enteric neurons, VGLUT2",FALSE
HBINH2,0.00958815938866944,0.0183650669959,Medulla,Nucleus of the solitary tract,"Inhibitory neurons, hindbrain",FALSE
TEINH4,0.00971432764932759,0.0170978221116,"Hippocampus,Cortex","Hippocampus,Cortex","Interneuron-selective interneurons, cortex/hippocampus",FALSE
SCINH4,0.0101113370825735,0.0158882988499,Spinal cord,"Dorsal horn, lamina 3-6","Inhibitory neurons, spinal cord",FALSE
CBNBL1,0.0116700045664689,0.217540052303,"Pons,Medulla,Cerebellum","Hindbrain (pons, medulla cerabellum)","Neuroblasts, cerebellum",FALSE
MSN2,0.0121771568598974,0.0780054812877,Striatum dorsal,Striatum dorsal,"D2 medium spiny neurons, striatum",FALSE
DEGLU1,0.0124105117920543,0.0176684295947,Thalamus,Posterior thalamus,"Excitatory neurons, thalamus",FALSE
DECHO2,0.0124405954090045,0.103177727398,Thalamus,Habenula,"Cholinergic neurons, habenula",FALSE
MSN3,0.0125398750259871,0.249119875109,Striatum ventral,Striatum ventral,"D2 medium spiny neurons, striatum",FALSE
MSN4,0.0127866854866384,0.110381640751,Striatum ventral,Striatum ventral,"D1 medium spiny neurons, striatum",FALSE
SCGLU3,0.0139784882185938,0.0401745193123,Spinal cord,Dorsal horn lamina 1-3,"Excitatory neurons, spinal cord",FALSE
HBSER1,0.0141912098574989,0.0862525301029,Pons,"Ventral midbrain/isthmic dorsal raphe (B7), caudal linear nucleus (B8), medial lemniscus (B9), isthmic periaqueductal grey (B4?)","Serotonergic neurons, hindbrain",FALSE
TEINH8,0.0143232892866048,0.0833632928611,Hippocampus,Hippocampus,"Interneuron-selective interneurons, hippocampus",FALSE
HBGLU6,0.0146658181219999,0.0499965283404,Pons,Pontine gray,"Excitatory neurons, hindbrain",FALSE
TEGLU17,0.0167576014745708,4.71024943321e-5,Cortex,Piriform pyramidal,"Excitatory neurons, cerebral cortex",FALSE
EPEN,0.0185209882719717,0.99616013733,Brain,Brain,Ependymal cells,FALSE
DEGLU2,0.0185352797524367,0.301049369571,Hypothalamus,Subparafascicular nucleus,"Excitatory neurons, hypothalamus",FALSE
HBSER2,0.0200590342332876,0.0715025195343,Pons,"Nucleus raphe Pons (B5, B6)","Serotonergic neurons, hindbrain",FALSE
TEGLU21,0.0201372269382633,8.36885941037e-4,Hippocampus,"CA1 (posterior),subiculum,entorhinal","Excitatory neurons, hippocampus CA1",FALSE
HYPEP6,0.021770929555078,0.625064768444,Hypothalamus,Dorsomedial nucleus of the hypothalamus,"Orexin-producing neurons, hypothalamus",FALSE
ENT1,0.0218064517130922,0.0900786248303,Enteric nervous system,Myenteric plexus of small intestine,Nitrergic enteric neurons,FALSE
OBDOP1,0.0219073258689295,0.170974616868,Olfactory bulb,"Olfactory bulb, periglomerular layer","Dopaminergic periglomerular interneuron, olfactory bulb",FALSE
DEINH2,0.0223111300309273,0.0561957993099,Thalamus,Reticular nucleus of the thalamus,"Inhibitory neurons, thalamus",FALSE
TEINH13,0.0228901115501941,0.022049812855,Hippocampus,Hippocampus,"Trilaminar cells, hippocampus",FALSE
MEINH8,0.0260194217439075,0.108904234445,Midbrain dorsal,"Superior colliculus superficial grey layer; Erdinger-Westphal nucleus, periaqueductal grey, nucleus of the optic tract","Inhibitory neurons, midbrain",FALSE
HYPEP8,0.0265147679342851,0.763854509319,Hypothalamus,Anteroventral periventricular continue along midline to Medial septal nucleus,"Peptidergic neurons, hypothalamus",FALSE
DEGLU3,0.0271803080450823,0.0809305349816,Thalamus,Paraventricular nucleus of the thalamus,"Excitatory neurons, thalamus",FALSE
MEGLU7,0.0273858292371609,9.78799082029e-4,Midbrain dorsal,Inferior colliculus,"Excitatory neurons, midbrain",FALSE
HBGLU1,0.0284072354897006,0.0522279745301,Medulla,Inferior olivary complex,"Excitatory neurons, hindbrain",FALSE
MBCHO1,0.0300535371676644,0.0170093504973,Midbrain ventral,Red nucleus,"Cholinergic neurons, midbrain red nucleus",FALSE
MEINH3,0.0303359480893761,0.00124906120871,Midbrain dorsal,"Dorsal midbrain, medial geniculate nucleus, anteroventral midbrain","Inhibitory neurons, midbrain",FALSE
SCGLU8,0.0307372912861161,0.385682240221,Spinal cord,Dorsal horn lamina 2-5,"Excitatory neurons, spinal cord",FALSE
SCINH3,0.0323518298295021,0.048816056159,Spinal cord,"Dorsal horn, lamina 2-6","Inhibitory neurons, spinal cord",FALSE
MEGLU8,0.0324488940290302,0.00114673823276,Midbrain dorsal,Inferior colliculus,"Excitatory neurons, midbrain",FALSE
SCINH2,0.0330100614029007,0.0110432614633,Spinal cord,"Dorsal horn, lamina 2-6","Inhibitory neurons, spinal cord",FALSE
TEINH17,0.0333307356129724,0.00572173420494,"Hippocampus,Cortex","Hippocampus,Cortex","Axo-axonic, cortex/hippocampus",FALSE
SCGLU1,0.0341731627627748,0.130667031898,Spinal cord,Dorsal horn lamina 4-6,"Excitatory neurons, spinal cord",FALSE
TEGLU12,0.0382357201364362,0.0329519411408,Cortex,"Lateral cortex layer 6: gustatory, barrel field, auditory","Excitatory neurons, cerebral cortex",FALSE
TEINH11,0.039082986422194,0.00340203598628,"Hippocampus,Cortex","Hippocampus (sr/slm),Cortex","R-LM border Cck interneurons, cortex/hippocampus",FALSE
MEINH7,0.0392471832170718,0.00398536525711,Midbrain dorsal,Superior colliculus,"Inhibitory neurons, midbrain",FALSE
DEINH7,0.0404310631922171,0.0235763734366,Hypothalamus,"Suprachiasmatic nucleus, Medial preoptic nucleus","Inhibitory neurons, hypothalamus",FALSE
TEINH18,0.0407503219074268,0.0112651303009,"Hippocampus,Cortex","Hippocampus,Cortex","Basket and bistratified cells, cortex/hippocampus",FALSE
CR,0.0414301862140981,0.497063353154,Dentate gyrus,Dentate gyrus molecular layer,"Cajal-Retzius cells, hippocampus",FALSE
TEGLU8,0.0430465851357554,0.0142395042112,Cortex,Cortical pyramidal layer 4,"Excitatory neurons, cerebral cortex",FALSE
DEGLU4,0.0435733692842818,1.4955140497e-4,Thalamus,Parafascicular nucleus,"Excitatory neurons, thalamus",FALSE
OBINH2,0.0436107939108114,0.421327092879,Olfactory bulb,"Olfactory bulb, mitral cell layer","Inner horizontal cell, olfactory bulb",FALSE
TEINH19,0.0445724467079807,0.0239218826555,"Hippocampus,Cortex","Hippocampus (so),Cortex","Hippocamposeptal projection, cortex/hippocampus",FALSE
OBNBL2,0.0456840230076938,0.0125831375293,Olfactory bulb,"Main olfactory bulb mitral layer, Main olfactory bulb outer plexiform layer","Neuroblasts, olfactory bulb",FALSE
HBCHO2,0.0473382579946635,0.0111748072431,Pons,"Medial pontine nuclei, reticulotegmental nuclei","Cholinergic neurons, hindbrain",FALSE
TEINH14,0.0474930993402053,0.0984988921457,"Hippocampus,Cortex","Hippocampus,Cortex","CGE-derived neurogliaform cells Cxcl14+, cortex/hippocampus",FALSE
TEGLU18,0.0485205618925061,0.028586493387,Cortex,"Anterior olfactory nucleus, deep layer","Excitatory neurons, cerebral cortex",FALSE
TEGLU10,0.0563625885420725,0.0177594770998,Cortex,Cortical pyramidal layer 5,"Excitatory neurons, cerebral cortex",FALSE
TEINH12,0.0571151152598731,1.52326755697e-4,"Hippocampus,Cortex","Hippocampus,Cortex","Non-border Cck interneurons, cortex/hippocampus",FALSE
SCINH5,0.0595926901505262,0.13880494385,Spinal cord,"Dorsal horn, lamina 2-6","Inhibitory neurons, spinal cord",FALSE
HBGLU7,0.0604708119004681,0.0342570024152,Pons,Tegmental reticular nucleus,"Excitatory neurons, hindbrain",FALSE
TEGLU13,0.0608000472693687,0.0259305099031,Cortex,Subiculum,"Excitatory neurons, cerebral cortex",FALSE
ENT2,0.0626199778700186,0.632504690365,Enteric nervous system,Myenteric plexus of small intestine,Nitrergic enteric neurons,FALSE
PSNP4,0.06308924352505,0.514307214438,Dorsal root ganglion,Dorsal root ganglion,"Non-peptidergic (NP2.1), DRG",FALSE
TEGLU20,0.0669177317951267,0.0224893030348,Cortex,Cortex pyramidal layer 6,"Excitatory neurons, cerebral cortex",FALSE
DECHO1,0.0857375247218498,0.024514722895,Hypothalamus,"Medial septal nuclues, diagonal band nucleus and nucleus basalis of Meissnert","Cholinergic neurons, septal nucleus, Meissnert and diagonal band",FALSE
TEGLU16,0.0899820186040454,0.183841973158,Cortex,Piriform pyramidal,"Excitatory neurons, cerebral cortex",FALSE
TEGLU23,0.0969903961759774,9.28934614171e-6,Hippocampus,CA3,"Excitatory neurons, hippocampus CA3",FALSE
TEINH9,0.0998869339103075,0.013877654790000001,Hippocampus,Hippocampus,"Non-border Cck interneurons, hippocampus",FALSE
MSN5,0.10154439537035,0.0653643436241,Striatum ventral,Striatum ventral,"Patch D1/D2 neurons, striatum",FALSE
HBINH6,0.103457943853407,0.0306885877034,Pons,Koelliker-Fuse subnucleus,"Inhibitory neurons, hindbrain",FALSE
PSNF1,0.104457290019168,0.00961229338419,Dorsal root ganglion,Dorsal root ganglion,"Neurofilament (NF1), DRG",FALSE
TEGLU19,0.105027384115857,0.00536719503092,Cortex,Anterior olfactory nucleus and ventral striatum,"Excitatory neurons, cerebral cortex",FALSE
OBDOP2,0.105929403307456,0.711963814199,Olfactory bulb,Olfactory bulb,"Dopaminergic neurons, olfactory nulb",FALSE
SCINH8,0.117171906520183,0.0104708394655,Spinal cord,"Dorsal horn, lamina 2-6","Inhibitory neurons, spinal cord",FALSE
TEINH16,0.125361019227814,0.0605552643142,"Hippocampus,Cortex","Hippocampus,Cortex","Ivy and MGE-derived neurogliaform cells, cortex/hippocampus",FALSE
TEGLU11,0.128307106233715,0.0144360435648,Cortex,Cortical pyramidal (poor markers),"Excitatory neurons, cerebral cortex",FALSE
HBINH7,0.133477830302733,0.0172885023782,Pons,Superior olivary complex,"Inhibitory neurons, hindbrain",FALSE
HBINH4,0.134781830988255,0.0104911607592,Medulla,Paragigantocellular reticular nucleus,"Inhibitory neurons, hindbrain",FALSE
OBNBL1,0.136143594453212,0.027585145188,Olfactory bulb,"Main olfactory bulb mitral layer, Main olfactory bulb outer plexiform layer","Neuroblasts, olfactory",FALSE
HBINH1,0.139072668208342,0.300736311731,Pons,"Pons, interpeduncular and tegmental nuclei in rh1","Inhibitory neurons, hindbrain",FALSE
TEGLU7,0.140875583105873,0.0154184705838,Cortex,Cortical pyramidal layer 2/3,"Excitatory neurons, cerebral cortex",FALSE
HYPEN,0.144007485007808,0.995643914499,Subcommissural organ,Subcommissural organ,"Hypendymal cell, subcommissural organ",FALSE
TEINH21,0.151741643254043,0.21785774898,"Hippocampus,Cortex","Hippocampus,Cortex","Sleep-active, long-range projection interneurons, cortex/hippocampus",FALSE
PSNP6,0.15323951883631,0.15224896356,Dorsal root ganglion,Dorsal root ganglion,"Non-peptidergic (NP3), DRG",FALSE
TEINH15,0.154255021816372,0.00754223494442,"Hippocampus,Cortex","Hippocampus,Cortex","CGE-derived neurogliaform cells, cortex/hippocampus",FALSE
SCGLU9,0.154591640272342,0.340025167254,Spinal cord,Dorsal horn lamina 3,"Excitatory neurons, spinal cord",FALSE
DETPH,0.156097140300685,0.903465002469,Thalamus,Medial habenula,"Neuroblast-like, habenula",FALSE
CBINH2,0.156598698495208,0.16687714234,Cerebellum,"Cerebellum, granular layer","Granular layer interneurons, cerebellum",FALSE
DEINH6,0.157580849627417,0.010606096403,Hypothalamus,"Arcuate hypothalamic nucleus (probably, Npy, Agrp cells)","Peptidergic neurons, hypothalamus",FALSE
TEGLU9,0.157966529867145,0.00555574155571,Cortex,"Cingulate/Retrosplenial area, layer 5","Excitatory neurons, cerebral cortex",FALSE
TEGLU2,0.159295211008423,0.0173370379333,Cortex,Cortex pyramidal layer 6b,"Excitatory neurons, cerebral cortex",FALSE
SCGLU4,0.160370968588861,0.0616691880005,Spinal cord,Dorsal horn lamina 2-3,"Excitatory neurons, spinal cord",FALSE
TEINH6,0.161152089674091,0.269479182864,"Hippocampus,Cortex","Hippocampus,Cortex","Interneuron-selective interneurons, cortex/hippocampus",FALSE
PSNF3,0.163438140356389,0.109267059506,Dorsal root ganglion,Dorsal root ganglion,"Neurofilament (NF2/3), DRG",FALSE
SCGLU10,0.163992363500534,0.149623823084,Spinal cord,Dorsal horn lamina 2-4,"Excitatory neurons, spinal cord",FALSE
TEGLU3,0.16930149146551,0.0102564017572,Cortex,Cortex pyramidal layer 6,"Excitatory neurons, cerebral cortex",FALSE
ENT7,0.171039419235567,0.825102119764,Enteric nervous system,Myenteric plexus of small intestine,"Cholinergic enteric neurons, VGLUT2",FALSE
CHOR,0.175759392108396,0.999986669807,"Medulla,Thalamus","Medulla,Thalamus",Chorid plexus epithelial cells,FALSE
MEINH6,0.179380018247741,0.0316086532824,Midbrain dorsal,Superior colliculus,"Inhibitory neurons, midbrain",FALSE
TEGLU24,0.183159658914648,0.00388670086786,Hippocampus,CA1,"Excitatory neurons, hippocampus CA1",FALSE
TEINH20,0.192097190719876,0.0920314960355,Hippocampus,Hippocampus (sr/slm),"Inhibitory interneurons, hippocampus",FALSE
TECHO,0.197806544452186,0.00902376293764,"Striatum dorsal, Striatum ventral,Amygdala","Striatum,Amygdala","Cholinergic interneurons, telencephalon",FALSE
ENT3,0.2113266309406,0.875911967203,Enteric nervous system,Myenteric plexus of small intestine,Nitrergic enteric neurons,FALSE
OBINH5,0.220177673082973,0.0197191501759,Olfactory bulb,"Olfactory bulb, outer plexiform layer","External plexiform layer interneuron, olfactory bulb",FALSE
SCINH9,0.221918198975547,0.082471038263,Spinal cord,"Dorsal horn, lamina 2-6","Inhibitory neurons, spinal cord",FALSE
PSPEP5,0.222129829276146,0.148720739754,Dorsal root ganglion,Dorsal root ganglion,"Peptidergic (PEP1.2), DRG",FALSE
SCGLU5,0.230237393946736,0.374701765236,Spinal cord,"Dorsal horn, lamina 2-3","Excitatory neurons, spinal cord",FALSE
PER3,0.231313954359044,0.999999869187,CNS,CNS,Pericytes,FALSE
SCGLU2,0.247354358006562,0.110569979783,Spinal cord,Dorsal horn lamina 4-6,"Excitatory neurons, spinal cord",FALSE
TEINH10,0.247904007212404,0.0754359139674,"Hippocampus,Cortex","Hippocampus (sr/slm),Cortex","R-LM border Cck interneurons, cortex/hippocampus",FALSE
PSPEP3,0.258434401539638,0.130677925606,Dorsal root ganglion,Dorsal root ganglion,"Peptidergic (PEP1..4), DRG",FALSE
PSNF2,0.271364592757628,0.115465515765,Dorsal root ganglion,Dorsal root ganglion,"Neurofilament (NF4/5), DRG",FALSE
PSNP3,0.272679612258583,0.648419040005,Dorsal root ganglion,Dorsal root ganglion,"Non-peptidergic (NP1.2), DRG",FALSE
OBNBL4,0.281971195498328,0.420816260126,Olfactory bulb,"Main olfactory bulb, glomerular layer","Inhibitory neurons, olfactory bulb",FALSE
SCINH10,0.284363850361278,0.0094937595938,Spinal cord,"Dorsal horn, lamina 2-6","Inhibitory neurons, spinal cord",FALSE
OBNBL5,0.287907242090549,0.258525030627,Olfactory bulb,"Main olfactory bulb, glomerular layer and Accessory olfactory bulb, granular layer","Inhibitory neurons, olfactory bulb",FALSE
PSNP2,0.296895769186995,0.649251694575,Dorsal root ganglion,Dorsal root ganglion,"Non-peptidergic (NP1.1), DRG",FALSE
SYCHO1,0.304284573746452,0.773794089236,Sympathetic ganglion,Sympathetic ganglion,"Cholinergic neurons, sympathetic",FALSE
HBCHO1,0.315376932078767,0.0980289176682,Medulla,Medulla (several nuclei),"Cholinergic neurons, hindbrain",FALSE
SCGLU6,0.31628055998414,0.0656021082061,Spinal cord,Dorsal horn lamina 1-2,"Excitatory neurons, spinal cord",FALSE
SCGLU7,0.333023399810902,0.124687794575,Spinal cord,Dorsal horn lamina 2-5,"Excitatory neurons, spinal cord",FALSE
PSPEP8,0.333887752441423,0.172385999477,Dorsal root ganglion,Dorsal root ganglion,"Peptidergic (TrpM8), DRG",FALSE
TEINH7,0.335374415150592,0.0831541461172,Hippocampus,Hippocampus,"Interneuron-selective interneurons, hippocampus",FALSE
ENT9,0.348133889536972,0.0323347653539,Enteric nervous system,Myenteric plexus of small intestine,Cholinergic enteric neurons,FALSE
MSN6,0.351258564697451,0.406559769573,Striatum ventral,Striatum ventral,"Matrix D1 neurons, striatum",FALSE
HBGLU8,0.373961987543617,0.138430154741,Pons,Tegmental reticular nucleus,"Excitatory neurons, hindbrain",FALSE
SCINH11,0.385068696138872,0.120189798384,Spinal cord,Spinal Cord central canal,"Central canal neurons, spinal cord",FALSE
PSPEP4,0.399573872122092,0.0801943811257,Dorsal root ganglion,Dorsal root ganglion,"Peptidergic (PEP1.1), DRG",FALSE
SCINH7,0.407744749604616,0.0368898942983,Spinal cord,"Dorsal horn, lamina 2-6","Inhibitory neurons, spinal cord",FALSE
PSPEP2,0.445696851004024,0.0942750435984,Dorsal root ganglion,Dorsal root ganglion,"Peptidergic (PEP1.3), DRG",FALSE
SATG1,0.449082972812497,0.999995716233,Dorsal root ganglion,Dorsal root ganglion,"Satellite glia, proliferating",FALSE
SYNOR3,0.449284556419615,0.969866780085,Sympathetic ganglion,Sympathetic ganglion,"Noradrenergic neurons, sympathetic",FALSE
SYNOR1,0.453681213503853,0.631452304913,Sympathetic ganglion,Sympathetic ganglion,Noradrenergic erector muscle neurons,FALSE
HYPEP7,0.480733122736921,0.149252633993,Hypothalamus,Lateral hypothalamic area,"Pmch neurons, hypothalamus",FALSE
ENT5,0.487512734069463,0.351027293128,Enteric nervous system,Myenteric plexus of small intestine,Cholinergic enteric neurons,FALSE
SYNOR5,0.50808412576278,0.755114952793,Sympathetic ganglion,Sympathetic ganglion,Noradrenergic erector muscle neurons,FALSE
CBPC,0.508990040572374,0.874633182426,Cerebellum,"Cerebellum, border of granular layer and molecular layer",Purkinje cells,FALSE
SYNOR4,0.512003256563637,0.993091039584,Sympathetic ganglion,Sympathetic ganglion,Noradrenergic erector muscle neurons,FALSE
PSPEP1,0.529370411003091,0.0653069316285,Dorsal root ganglion,Dorsal root ganglion,"Peptidergicv (PEP2), DRG",FALSE
RGSZ,0.546050881128299,0.867627702914,"Striatum dorsal,Striatum ventral","Striatum, rostral migragtory stream, olfactory bulb",Subventricular zone radial glia-like cells,FALSE
SYCHO2,0.54661035219869,0.561581696531,Sympathetic ganglion,Sympathetic ganglion,"Cholinergic neurons, sympathetic",FALSE
