dataset,annotation,bootstrap_estimate,bootstrap_error,bt_value,bp_value,bias_corrected_estimate,CI_lo,CI_hi,annotation.y,Class,Description,NCells,Neurotransmitter,Probable_location,Region,LeafOrder,TaxonomyRank1,TaxonomyRank2,TaxonomyRank3,TaxonomyRank4,Comment,TaxonomyRank4_reduced1,tax_order_idx_mb_fig1c,Neurotransmitter_class,Neurotransmitter_class_linnarson,nt.Acetylcholine,nt.Adrenaline,nt.Dopamine,nt.GABA,nt.GLYT1,nt.GLYT2,nt.Missing,nt.Nitric oxide,nt.Noradrenaline,nt.Serotonin,nt.VGLUT1,nt.VGLUT2,nt.VGLUT3,name_clean,category,fdr_significant
mousebrain_all.sem_mean,MEGLU2,3.990917217243931e-6,1.368515004946026e-6,2.9162392833254556,0.0017713933904040732,3.9815014433663334e-6,1.2000506990275207e-6,6.5679323209616574e-6,MEGLU2,Neurons,"Excitatory neurons, midbrain",336,Glutamate (VGLUT1),Periaqueductal grey,Midbrain dorsal,121,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,nan,Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,MEGLU2,Neurons,FALSE
tabula_muris.sem_mean,Marrow.late_pro.B_cell,2.6327624439330464e-6,9.208194682136443e-7,2.8591515870537667,0.002123878745184796,2.643044447505815e-6,8.133727214053915e-7,4.440923678742677e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marrow.late_pro.B_cell,dummy_category,FALSE
mousebrain_all.sem_mean,HBCHO2,3.7169578988139467e-6,1.3388202139284205e-6,2.7762935307852117,0.00274912722174925,3.563339362978592e-6,1.0548998931496078e-6,6.005009629293859e-6,HBCHO2,Neurons,"Cholinergic neurons, hindbrain",22,"Acetylcholine, Glutamate (VGLUT2), Nitric oxide","Medial pontine nuclei, reticulotegmental nuclei",Pons,162,Neurons,CNS neurons,Hindbrain neurons,Hindbrain neurons,"Low Chat,Slc5a7",Hindbrain neurons,12,Excitatory,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,HBCHO2,Neurons,FALSE
mousebrain_all.sem_mean,SCINH8,5.09560310090239e-6,1.924184140402763e-6,2.6481889097349054,0.004046214533645546,5.055849432132184e-6,1.0401190454946015e-6,8.424885546899635e-6,SCINH8,Neurons,"Inhibitory neurons, spinal cord",87,GABA,"Dorsal horn, lamina 2-6",Spinal cord,100,Neurons,CNS neurons,Spinal cord neurons,Spinal cord inhibitory neurons,correspond to Gaba3 in C1 data.,Spinal cord inhibitory neurons,16,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SCINH8,Neurons,FALSE
mousebrain_all.sem_mean,MEINH3,3.4953301263801997e-6,1.3422501494659424e-6,2.6040825011425253,0.004606028950887685,3.4560293232539246e-6,8.889279766421772e-7,6.060275615482466e-6,MEINH3,Neurons,"Inhibitory neurons, midbrain",258,GABA,"Dorsal midbrain, medial geniculate nucleus, anteroventral midbrain",Midbrain dorsal,149,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon inhibitory neurons,nan,Di- and mesencephalon inhibitory neurons,13,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,MEINH3,Neurons,FALSE
mousebrain_all.sem_mean,HBGLU2,2.7382626976328905e-6,1.097602192556593e-6,2.494767882391693,0.00630197745436066,2.725216404945771e-6,5.740391237374426e-7,4.795463537527232e-6,HBGLU2,Neurons,"Excitatory neurons, hindbrain",200,"Glutamate (VGLUT2), Nitric oxide",Nucleus of the solitary tract,Medulla,120,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,nan,Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,HBGLU2,Neurons,FALSE
mousebrain_all.sem_mean,DEGLU5,3.0565626910030404e-6,1.236352529709622e-6,2.4722420325543597,0.006713428930500373,3.1039009158437605e-6,4.7557456391284783e-7,5.313218397271056e-6,DEGLU5,Neurons,"Excitatory neurons, midbrain",426,Glutamate (VGLUT1),Anterior pretectal nucleus,Midbrain dorsal,123,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,"doi:10.1007/s00429-011-0348-3 Very similar to Thalamus cluster, changed",Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,DEGLU5,Neurons,FALSE
mousebrain_all.sem_mean,HBINH3,3.795955477993396e-6,1.5945253271912285e-6,2.3806178636748325,0.008641815466368993,3.5805863103765923e-6,8.460183045248474e-7,6.720399135393078e-6,HBINH3,Neurons,"Inhibitory neurons, hindbrain",127,"GABA, Glycine (GLYT1,GLYT2)",Paragigantocellular reticular nucleus,Medulla,157,Neurons,CNS neurons,Hindbrain neurons,Hindbrain neurons,should be very posterior in medulla because of Hox genes,Hindbrain neurons,12,Inhibitory,In,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,HBINH3,Neurons,FALSE
mousebrain_all.sem_mean,SCINH5,4.983627679351449e-6,2.097877931724273e-6,2.3755565583624505,0.00876125338654827,5.113686941507818e-6,7.87773045769974e-7,8.939111104389447e-6,SCINH5,Neurons,"Inhibitory neurons, spinal cord",44,"GABA, Glycine (GLYT2)","Dorsal horn, lamina 2-6",Spinal cord,103,Neurons,CNS neurons,Spinal cord neurons,Spinal cord inhibitory neurons,correspond to Gaba13 in C1 data.,Spinal cord inhibitory neurons,16,Inhibitory,In,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,SCINH5,Neurons,FALSE
mousebrain_all.sem_mean,HBINH7,2.711077876513008e-6,1.185284326297207e-6,2.2872806265669055,0.0110897242739161,2.449493380549633e-6,4.01089773353883e-7,5.125327527563428e-6,HBINH7,Neurons,"Inhibitory neurons, hindbrain",25,"GABA, Glycine (GLYT1,GLYT2)",Superior olivary complex,Pons,169,Neurons,CNS neurons,Hindbrain neurons,Hindbrain neurons,nan,Hindbrain neurons,12,Inhibitory,In,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,HBINH7,Neurons,FALSE
mousebrain_all.sem_mean,HBINH6,2.4899538408686426e-6,1.094007018112752e-6,2.275994394591735,0.011423172555872885,2.4995688657177196e-6,3.774544643016085e-7,4.459037146641055e-6,HBINH6,Neurons,"Inhibitory neurons, hindbrain",62,"GABA, Glycine (GLYT1)",Koelliker-Fuse subnucleus,Pons,159,Neurons,CNS neurons,Hindbrain neurons,Hindbrain neurons,nan,Hindbrain neurons,12,Inhibitory,In,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,HBINH6,Neurons,FALSE
mousebrain_all.sem_mean,HBNOR,4.0943462411398e-6,1.836835078189945e-6,2.229022240349663,0.012906212518630531,4.116161569204022e-6,2.89911998185179e-7,7.672016678651263e-6,HBNOR,Neurons,Noradrenergic neurons of the medulla,23,"Noradrenaline, Nitric oxide",A1-2 noradrenergic cell groups,Medulla,72,Neurons,CNS neurons,"Cholinergic, monoaminergic and peptidergic neurons",Cholinergic and monoaminergic neurons,nan,Cholinergic and monoaminergic neurons,18,Monoamines,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,HBNOR,Neurons,FALSE
tabula_muris.sem_mean,Brain_Non.Myeloid.neuron,1.685778897258295e-6,7.91115386547922e-7,2.13088877542161,0.016549153161559124,1.8214794862699017e-6,1.3033044340212738e-7,3.34476757502824e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brain_Non.Myeloid.neuron,dummy_category,FALSE
mousebrain_all.sem_mean,SCGLU3,3.775547505517747e-6,1.793423605997774e-6,2.1052179155505293,0.017636171728064347,3.842636919201946e-6,3.1748207181917065e-8,6.993577783169262e-6,SCGLU3,Neurons,"Excitatory neurons, spinal cord",62,Glutamate (VGLUT2),Dorsal horn lamina 1-3,Spinal cord,110,Neurons,CNS neurons,Spinal cord neurons,Spinal cord excitatory neurons,correspond to Glut12 in C1 data. Break to have only Cadps2>0 cells.,Spinal cord excitatory neurons,15,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,SCGLU3,Neurons,FALSE
mousebrain_all.sem_mean,HBGLU5,2.1480720854004828e-6,1.0282917324196252e-6,2.088971463716775,0.018355146005005787,2.029352567745575e-6,7.435890902603099e-8,4.141270734940114e-6,HBGLU5,Neurons,"Excitatory neurons, hindbrain",130,"Glutamate (VGLUT1), Nitric oxide","Pontine reticular nucleus, caudal part",Pons,164,Neurons,CNS neurons,Hindbrain neurons,Hindbrain neurons,nan,Hindbrain neurons,12,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,HBGLU5,Neurons,FALSE
mousebrain_all.sem_mean,HBINH4,2.5328687441075707e-6,1.239131900636195e-6,2.0440670947194124,0.020473459659477847,2.5584821347228612e-6,2.025352340940551e-7,4.8700785655826784e-6,HBINH4,Neurons,"Inhibitory neurons, hindbrain",75,"GABA, Glycine (GLYT1,GLYT2)",Paragigantocellular reticular nucleus,Medulla,158,Neurons,CNS neurons,Hindbrain neurons,Hindbrain neurons,should be very posterior in medulla because of Hox genes,Hindbrain neurons,12,Inhibitory,In,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,HBINH4,Neurons,FALSE
tabula_muris.sem_mean,Pancreas.type_B_pancreatic_cell,1.5710041065165094e-6,7.870358755402143e-7,1.9961022811548286,0.022961395397619815,1.6516383072488584e-6,-3.50176980495641e-8,3.088118581643831e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pancreas.type_B_pancreatic_cell,dummy_category,FALSE
mousebrain_all.sem_mean,SCINH6,3.3150839633697817e-6,1.6919022382124002e-6,1.9593826927449272,0.025033992998250595,3.1942098911741697e-6,-2.4941968052135664e-7,5.9990233461865085e-6,SCINH6,Neurons,"Inhibitory neurons, spinal cord",87,GABA,"Dorsal horn, lamina 2-4",Spinal cord,102,Neurons,CNS neurons,Spinal cord neurons,Spinal cord inhibitory neurons,correspond to Gaba9 in C1 data.,Spinal cord inhibitory neurons,16,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SCINH6,Neurons,FALSE
mousebrain_all.sem_mean,SCINH10,3.7092219181142094e-6,1.940401543379842e-6,1.9115744010661782,0.027965402680066594,3.5294621615239023e-6,-2.6532010463888213e-8,7.43137655986046e-6,SCINH10,Neurons,"Inhibitory neurons, spinal cord",65,"GABA, Glycine (GLYT2), Nitric oxide","Dorsal horn, lamina 2-6",Spinal cord,98,Neurons,CNS neurons,Spinal cord neurons,Spinal cord inhibitory neurons,correspond to Gaba2 in C1 data.,Spinal cord inhibitory neurons,16,Inhibitory,In,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,SCINH10,Neurons,FALSE
mousebrain_all.sem_mean,DEGLU4,2.0611326131932773e-6,1.081126354476439e-6,1.906467828352431,0.028294767920459384,1.9958661738052092e-6,-1.2973247106054724e-7,4.013645496077671e-6,DEGLU4,Neurons,"Excitatory neurons, thalamus",101,Glutamate (VGLUT2),Parafascicular nucleus,Thalamus,140,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,nan,Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,DEGLU4,Neurons,FALSE
mousebrain_all.sem_mean,MEGLU11,1.7380826494441167e-6,9.247626636361342e-7,1.8794905090675234,0.030088774121491055,1.8394781275922792e-6,4.6862414195269145e-8,3.533883621444222e-6,MEGLU11,Neurons,"Excitatory neurons, midbrain",249,Glutamate (VGLUT1),Inferior colliculus,Midbrain dorsal,129,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,nan,Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,MEGLU11,Neurons,FALSE
mousebrain_all.sem_mean,OBINH5,3.163327132410449e-6,1.6859032099489659e-6,1.8763397054723006,0.0303043240879804,3.234452314350934e-6,1.2163180320571303e-7,6.004899560168983e-6,OBINH5,Neurons,"External plexiform layer interneuron, olfactory bulb",56,GABA,"Olfactory bulb, outer plexiform layer",Olfactory bulb,46,Neurons,CNS neurons,Telencephalon interneurons,Olfactory inhibitory neurons,Likely van Gehuchten cells,Olfactory inhibitory neurons,20,Inhibitory,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,OBINH5,Neurons,FALSE
mousebrain_all.sem_mean,SCGLU2,3.594057570923558e-6,1.9215834782551987e-6,1.8703624440958293,0.030716751762549302,3.89226961438141e-6,2.0663483128988202e-8,7.283169100404049e-6,SCGLU2,Neurons,"Excitatory neurons, spinal cord",133,Glutamate (VGLUT2),Dorsal horn lamina 4-6,Spinal cord,109,Neurons,CNS neurons,Spinal cord neurons,Spinal cord excitatory neurons,correspond to Glut13 in C1 data.,Spinal cord excitatory neurons,15,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,SCGLU2,Neurons,FALSE
mousebrain_all.sem_mean,HBGLU9,1.6040892813627785e-6,8.618049601806212e-7,1.8613135865759993,0.03134995280261341,1.5829826292903456e-6,-1.9372065199434454e-8,3.213171079458528e-6,HBGLU9,Neurons,"Excitatory neurons, hindbrain",97,Glutamate (VGLUT2),Spinal nucleus of the trigeminal,Medulla,168,Neurons,CNS neurons,Hindbrain neurons,Hindbrain neurons,nan,Hindbrain neurons,12,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,HBGLU9,Neurons,FALSE
mousebrain_all.sem_mean,SCINH9,3.6024778077713424e-6,1.945245717772076e-6,1.8519397189046753,0.032017239793095384,3.828881892217818e-6,-9.917545717247526e-8,7.118909324187451e-6,SCINH9,Neurons,"Inhibitory neurons, spinal cord",84,GABA,"Dorsal horn, lamina 2-6",Spinal cord,99,Neurons,CNS neurons,Spinal cord neurons,Spinal cord inhibitory neurons,correspond to Gaba2-3 in C1 data. Probably a mix of Gaba2 and 3.,Spinal cord inhibitory neurons,16,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SCINH9,Neurons,FALSE
mousebrain_all.sem_mean,MEGLU10,1.5740276635768768e-6,8.513202020907621e-7,1.848925539075912,0.03223428267991433,1.487653535097549e-6,6.43610364033936e-9,3.2030540476566023e-6,MEGLU10,Neurons,"Excitatory neurons, midbrain",419,"Glutamate (VGLUT1), Nitric oxide",Inferior colliculus,Midbrain dorsal,128,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,Poor markers,Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,MEGLU10,Neurons,FALSE
mousebrain_all.sem_mean,SCINH1,2.631779009370911e-6,1.440362517632829e-6,1.8271643264475679,0.03383753289699685,2.6543352818072035e-6,-2.2029174413153114e-7,5.4828236231993705e-6,SCINH1,Neurons,"Inhibitory neurons, spinal cord",18,"GABA, Glycine (GLYT2)","Dorsal horn, lamina 2-3,6",Spinal cord,171,Neurons,CNS neurons,Hindbrain neurons,Hindbrain neurons,"correspond to Gaba14,15 in C1 data.",Hindbrain neurons,12,Inhibitory,In,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,SCINH1,Neurons,FALSE
mousebrain_all.sem_mean,SCGLU1,3.1347302245112794e-6,1.8092209673111092e-6,1.7326408886196811,0.04157975848091529,2.925142389807599e-6,-5.449734917069089e-7,6.38313462688811e-6,SCGLU1,Neurons,"Excitatory neurons, spinal cord",52,Glutamate (VGLUT2),Dorsal horn lamina 4-6,Spinal cord,108,Neurons,CNS neurons,Spinal cord neurons,Spinal cord excitatory neurons,correspond to Glut14 in C1 data.,Spinal cord excitatory neurons,15,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,SCGLU1,Neurons,FALSE
mousebrain_all.sem_mean,TEINH11,1.9011894513853323e-6,1.0991355180196722e-6,1.7297134158768082,0.041840745272311936,1.895939630798411e-6,-2.399080540135468e-7,4.092783134886653e-6,TEINH11,Neurons,"R-LM border Cck interneurons, cortex/hippocampus",660,"GABA,Glutamate (VGLUT3), Nitric oxide","Hippocampus (sr/slm),Cortex","Hippocampus,Cortex",61,Neurons,CNS neurons,Telencephalon interneurons,Telencephalon inhibitory interneurons,nan,Telencephalon inhibitory interneurons,19,Ex/In,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,TEINH11,Neurons,FALSE
mousebrain_all.sem_mean,HBINH8,2.5971032299163764e-6,1.5209175060372842e-6,1.7075898065524078,0.04385624055550622,2.419111280121857e-6,-2.68407089417782e-7,5.515883992898413e-6,HBINH8,Neurons,"Inhibitory neurons, hindbrain",11,"GABA, Glycine (GLYT1,GLYT2)",Spinal nucleus of the trigeminal,Medulla,170,Neurons,CNS neurons,Hindbrain neurons,Hindbrain neurons,nan,Hindbrain neurons,12,Inhibitory,In,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,HBINH8,Neurons,FALSE
mousebrain_all.sem_mean,SCINH4,2.861828888198532e-6,1.7528975485477798e-6,1.6326275831519454,0.05127367317899954,2.993048128267466e-6,-8.433816802970275e-7,5.854150977020588e-6,SCINH4,Neurons,"Inhibitory neurons, spinal cord",37,GABA,"Dorsal horn, lamina 3-6",Spinal cord,104,Neurons,CNS neurons,Spinal cord neurons,Spinal cord inhibitory neurons,correspond to Gaba10 in C1 data. Might be proken to Eya2 and Adamts5.,Spinal cord inhibitory neurons,16,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SCINH4,Neurons,FALSE
tabula_muris.sem_mean,Marrow.granulocyte_monocyte_progenitor_cell,1.3591260309327125e-6,8.347542567761178e-7,1.6281750226488896,0.05174388968323252,1.48425034818993e-6,-2.635465087149518e-7,3.130832483293259e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marrow.granulocyte_monocyte_progenitor_cell,dummy_category,FALSE
mousebrain_all.sem_mean,PSNF2,1.7634078508491368e-6,1.1151670627994776e-6,1.5812947760691007,0.05690532674977933,1.7890526862371701e-6,-3.4789713381765346e-7,3.934239000547685e-6,PSNF2,Neurons,"Neurofilament (NF4/5), DRG",57,"Glutamate (VGLUT1,VGLUT2)",Dorsal root ganglion,Dorsal root ganglion,207,Neurons,PNS neurons,Peripheral sensory neurons,Peripheral sensory neurofilament neurons,nan,Peripheral sensory neurons,8,Excitatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,PSNF2,Neurons,FALSE
