gene_symbol	ensembl_id
DCTN2	ENSG00000175203
LLGL1	ENSG00000131899
VPS11	ENSG00000262342
GNAI2	ENSG00000114353
MYH14	ENSG00000105357
EIF4A2	ENSG00000156976
ARPC2	ENSG00000163466
CCT3	ENSG00000163468
MYO6	ENSG00000196586
HSPA1A	ENSG00000237724
SYN2	ENSG00000157152
ANXA5	ENSG00000164111
ATAD3A	ENSG00000197785
PPFIA3	ENSG00000177380
VPS52	ENSG00000223618
SRPR	ENSG00000182934
ABCD3	ENSG00000117528
LIN7C	ENSG00000148943
CNTN2	ENSG00000184144
IGSF21	ENSG00000117154
RAB1A	ENSG00000138069
ACTR1B	ENSG00000115073
TXNL1	ENSG00000091164
NEGR1	ENSG00000172260
DLG3	ENSG00000082458
VDAC1	ENSG00000213585
LMO7	ENSG00000136153
RPL14	ENSG00000188846
SCRIB	ENSG00000180900
AKR7A2	ENSG00000053371
MAOA	ENSG00000189221
ATP1B1	ENSG00000143153
DLST	ENSG00000119689
ADD2	ENSG00000271760
KIF2A	ENSG00000068796
ARF3	ENSG00000134287
TJP2	ENSG00000119139
SPTBN4	ENSG00000160460
RIMBP2	ENSG00000060709
CAND1	ENSG00000111530
TUBB2A	ENSG00000137267
MAP6D1	ENSG00000180834
RAB35	ENSG00000111737
KIAA0528	ENSG00000111731
VCP	ENSG00000165280
TLN1	ENSG00000137076
EPRS	ENSG00000136628
ABI2	ENSG00000138443
DNM1L	ENSG00000087470
NDUFB7	ENSG00000099795
TPPP	ENSG00000171368
GJA1	ENSG00000152661
DCLK1	ENSG00000133083
PEBP1	ENSG00000089220
CAPZA2	ENSG00000198898
AAK1	ENSG00000115977
COX6B1	ENSG00000126267
PRPH	ENSG00000135406
PHGDH	ENSG00000092621
TFAM	ENSG00000108064
UCHL1	ENSG00000154277
CACNA2D1	ENSG00000153956
RAB6A	ENSG00000175582
TOMM70A	ENSG00000154174
ATP5O	ENSG00000241837
CTNND1	ENSG00000198561
PHB	ENSG00000167085
AK5	ENSG00000154027
TLN2	ENSG00000171914
NEFL	ENSG00000104725
DMXL2	ENSG00000104093
NEFM	ENSG00000104722
ATP6V1A	ENSG00000114573
SYT7	ENSG00000011347
FASN	ENSG00000169710
PPP1CB	ENSG00000213639
AK1	ENSG00000106992
ACSL3	ENSG00000123983
YES1	ENSG00000176105
AP3B2	ENSG00000103723
ITSN1	ENSG00000205726
NDUFA4	ENSG00000189043
TMOD1	ENSG00000136842
SPTBN2	ENSG00000173898
LRRC7	ENSG00000033122
PRKDC	ENSG00000253729
PPFIA1	ENSG00000131626
TRAP1	ENSG00000126602
CNP	ENSG00000173786
PTPN23	ENSG00000076201
MAPRE2	ENSG00000166974
WASF1	ENSG00000112290
DYNLL1	ENSG00000088986
MAP1B	ENSG00000131711
SCFD1	ENSG00000092108
RAB3A	ENSG00000105649
HADHA	ENSG00000084754
STIP1	ENSG00000168439
RAP1A	ENSG00000116473
SORBS1	ENSG00000095637
ABR	ENSG00000159842
NNT	ENSG00000112992
PPP3CB	ENSG00000107758
ELMO2	ENSG00000062598
MOG	ENSG00000204655
GBAS	ENSG00000146729
RTN4	ENSG00000115310
ANK3	ENSG00000151150
PALM	ENSG00000099864
SNX4	ENSG00000114520
CAPZA1	ENSG00000116489
MYO18A	ENSG00000196535
PLD3	ENSG00000105223
GPI	ENSG00000105220
CYFIP2	ENSG00000055163
DNM3	ENSG00000197959
RPL12	ENSG00000197958
GNAO1	ENSG00000087258
SCRN1	ENSG00000136193
LIN7B	ENSG00000104863
KCTD12	ENSG00000178695
ANKS1B	ENSG00000185046
SHANK1	ENSG00000161681
CASKIN1	ENSG00000167971
ICAM5	ENSG00000105376
10-Sep	ENSG00000186522
NME1	ENSG00000239672
PAK1	ENSG00000149269
AP2M1	ENSG00000161203
PRDX1	ENSG00000117450
GOT1	ENSG00000120053
KCTD8	ENSG00000183783
YWHAZ	ENSG00000164924
RTN1	ENSG00000139970
DYNC1I1	ENSG00000158560
GNB2	ENSG00000172354
CDH13	ENSG00000140945
AHCYL1	ENSG00000168710
RASAL1	ENSG00000111344
MARK2	ENSG00000072518
PALM2	ENSG00000243444
SLC1A3	ENSG00000079215
PDCD6IP	ENSG00000170248
PRDX5	ENSG00000126432
ATP6V1E1	ENSG00000131100
FAM82A2	ENSG00000137824
ATP5I	ENSG00000169020
GLUL	ENSG00000135821
NCAM2	ENSG00000154654
PI4KA	ENSG00000241973
MAP7D1	ENSG00000116871
DLGAP2	ENSG00000198010
SH3GL1	ENSG00000141985
YWHAH	ENSG00000128245
SUCLA2	ENSG00000136143
GRIN2D	ENSG00000105464
RPS25	ENSG00000262088
CAMK2A	ENSG00000070808
CA4	ENSG00000167434
LRPPRC	ENSG00000138095
DLGAP3	ENSG00000116544
GAPDH	ENSG00000111640
KIAA1217	ENSG00000120549
DYNLRB1	ENSG00000125971
SYNGAP1	ENSG00000227460
BIN1	ENSG00000136717
PTPRD	ENSG00000153707
SACM1L	ENSG00000211456
COX5A	ENSG00000178741
CDC42BPA	ENSG00000143776
SYP	ENSG00000268353
TAOK2	ENSG00000149930
CACNB4	ENSG00000182389
TOM1L2	ENSG00000175662
DLG1	ENSG00000075711
FAM49A	ENSG00000197872
RPS14	ENSG00000164587
DDAH1	ENSG00000153904
RPS27	ENSG00000177954
CHMP4B	ENSG00000101421
SPECC1	ENSG00000128487
NPTN	ENSG00000156642
PPFIA4	ENSG00000143847
6-Sep	ENSG00000125354
FBXO41	ENSG00000163013
IRGQ	ENSG00000167378
EXOC4	ENSG00000131558
RAB6B	ENSG00000154917
HSPA2	ENSG00000126803
NDUFS2	ENSG00000158864
CISD1	ENSG00000122873
DIP2B	ENSG00000066084
APOL2	ENSG00000128335
LYNX1	ENSG00000180155
KIF21A	ENSG00000139116
HSPA5	ENSG00000044574
MDH2	ENSG00000262847
CCT7	ENSG00000135624
RPL8	ENSG00000161016
HSPA6	ENSG00000173110
GOLGA7B	ENSG00000155265
MSN	ENSG00000147065
OXR1	ENSG00000164830
CORO1A	ENSG00000102879
YWHAG	ENSG00000170027
SHANK2	ENSG00000162105
NEFH	ENSG00000100285
RPS13	ENSG00000110700
FLOT1	ENSG00000224740
CKAP5	ENSG00000175216
AP1B1	ENSG00000100280
KIF5C	ENSG00000262907
ATP1B2	ENSG00000129244
MAPRE3	ENSG00000084764
CNTNAP1	ENSG00000108797
BSN	ENSG00000164061
SFXN5	ENSG00000144040
EPB41L1	ENSG00000088367
CKMT1B	ENSG00000237289
ARHGDIA	ENSG00000141522
KIAA1045	ENSG00000122733
3-Sep	ENSG00000100167
RYR2	ENSG00000198626
BCAN	ENSG00000132692
RUFY3	ENSG00000018189
CTNNA1	ENSG00000044115
MAP4	ENSG00000047849
DNAJB4	ENSG00000162616
GRIA2	ENSG00000120251
DDX1	ENSG00000079785
DLGAP1	ENSG00000170579
SRC	ENSG00000197122
TTC7B	ENSG00000165914
DPYSL4	ENSG00000151640
DLD	ENSG00000091140
RAB5B	ENSG00000111540
CYTH3	ENSG00000008256
KLC2	ENSG00000174996
GRIA3	ENSG00000125675
DARS	ENSG00000115866
TPI1	ENSG00000268548
HSPA4	ENSG00000170606
EEF1A1	ENSG00000156508
SYNPO	ENSG00000171992
LDHA	ENSG00000134333
SIRPA	ENSG00000198053
SNAP91	ENSG00000065609
GSTM3	ENSG00000134202
ACSL6	ENSG00000164398
TCP1	ENSG00000120438
CORO1C	ENSG00000110880
DLAT	ENSG00000150768
CDC42BPB	ENSG00000198752
CPNE5	ENSG00000124772
11-Sep	ENSG00000138758
LPHN1	ENSG00000072071
CKAP4	ENSG00000136026
RPS3	ENSG00000149273
UNC13A	ENSG00000130477
KRAS	ENSG00000133703
ACLY	ENSG00000131473
8-Sep	ENSG00000164402
CORO2B	ENSG00000103647
WASL	ENSG00000106299
ABI1	ENSG00000136754
VDAC3	ENSG00000078668
FMN2	ENSG00000155816
CCT4	ENSG00000115484
IQSEC1	ENSG00000144711
2-Sep	ENSG00000168385
ENO2	ENSG00000269528
NAPB	ENSG00000125814
IGSF8	ENSG00000162729
MAP1LC3A	ENSG00000101460
PLXNA4	ENSG00000221866
KIAA0408	ENSG00000189367
ACTN4	ENSG00000130402
HSPA12A	ENSG00000165868
MYH11	ENSG00000133392
4-Sep	ENSG00000108387
PABPC1	ENSG00000070756
STXBP3	ENSG00000116266
DPYSL2	ENSG00000092964
MTCH2	ENSG00000109919
ATP6V0A1	ENSG00000033627
TPM4	ENSG00000167460
SRI	ENSG00000075142
Mylc2b	ENSG00000118680
ENO1	ENSG00000074800
C10orf35	ENSG00000171224
NDUFB6	ENSG00000165264
SAMM50	ENSG00000100347
MYH9	ENSG00000100345
FARSA	ENSG00000179115
OGDH	ENSG00000105953
MAP1A	ENSG00000166963
OPA1	ENSG00000198836
EXOC8	ENSG00000116903
GNPAT	ENSG00000116906
NDUFS1	ENSG00000023228
VSNL1	ENSG00000163032
KBTBD11	ENSG00000176595
RAB5C	ENSG00000108774
PTPRS	ENSG00000105426
ATP5A1	ENSG00000152234
PCMT1	ENSG00000120265
ARHGEF2	ENSG00000116584
ANK2	ENSG00000145362
SNAP25	ENSG00000132639
DBNL	ENSG00000136279
GLIPR2	ENSG00000122694
UBE2N	ENSG00000177889
CAP2	ENSG00000112186
EPB49	ENSG00000158856
KIF1A	ENSG00000130294
HSPA1L	ENSG00000236251
EXOC3	ENSG00000180104
DNM1	ENSG00000106976
ATP1A1	ENSG00000163399
GNB1	ENSG00000078369
BAIAP2	ENSG00000175866
SPTBN1	ENSG00000115306
TUBA1B	ENSG00000123416
TUFM	ENSG00000178952
KIAA0284	ENSG00000099814
LAMTOR1	ENSG00000149357
MPP2	ENSG00000108852
FSD1	ENSG00000105255
TBCB	ENSG00000105254
SNTB2	ENSG00000260873
CC2D1A	ENSG00000132024
PGK1	ENSG00000269666
RIMS1	ENSG00000079841
VIM	ENSG00000026025
COX7A2L	ENSG00000115944
STX1A	ENSG00000263024
NDUFS7	ENSG00000115286
CCT8	ENSG00000156261
HSPA9	ENSG00000113013
PDHA1	ENSG00000131828
NDUFV2	ENSG00000178127
SH3GLB2	ENSG00000148341
MAPT	ENSG00000186868
RPS19	ENSG00000105372
RAB10	ENSG00000084733
RAPGEF2	ENSG00000109756
EZR	ENSG00000092820
VCAN	ENSG00000038427
SPIRE1	ENSG00000134278
MT-CO2	ENSG00000198712
NPEPPS	ENSG00000141279
SLC25A3	ENSG00000075415
ATP6V1H	ENSG00000047249
GNA13	ENSG00000120063
AQP4	ENSG00000171885
PPP1CA	ENSG00000172531
PLP1	ENSG00000123560
NDUFB10	ENSG00000140990
RPS18	ENSG00000096150
COX6C	ENSG00000164919
PCBP2	ENSG00000197111
NSF	ENSG00000073969
GNB4	ENSG00000114450
ATIC	ENSG00000138363
PGD	ENSG00000142657
MAPK3	ENSG00000102882
CAMK2B	ENSG00000058404
SNX27	ENSG00000143376
EPB41L3	ENSG00000082397
DPYSL3	ENSG00000113657
CAPZB	ENSG00000077549
VAMP2	ENSG00000220205
SCAI	ENSG00000173611
PRKAR2B	ENSG00000005249
EPS15L1	ENSG00000127527
HSPD1	ENSG00000144381
PTPN11	ENSG00000179295
GDI1	ENSG00000268690
ATP2B2	ENSG00000157087
EEF1G	ENSG00000254772
GFAP	ENSG00000131095
PIP4K2A	ENSG00000150867
SLC25A22	ENSG00000177542
AP2S1	ENSG00000042753
PACSIN1	ENSG00000124507
CLU	ENSG00000120885
LDHB	ENSG00000111716
INA	ENSG00000148798
RAB15	ENSG00000139998
VAPA	ENSG00000101558
CEP170P1	ENSG00000154608
UQCRC1	ENSG00000010256
ATAT1	ENSG00000235658
ACBD5	ENSG00000107897
TUBA4A	ENSG00000127824
PPIA	ENSG00000196262
TRIM3	ENSG00000110171
PDE2A	ENSG00000186642
GRIN1	ENSG00000176884
FARSB	ENSG00000116120
SCCPDH	ENSG00000143653
PIP4K2B	ENSG00000141720
CACYBP	ENSG00000116161
PRKAR2A	ENSG00000114302
FYN	ENSG00000010810
NDUFA13	ENSG00000186010
HSPH1	ENSG00000120694
TUBA1A	ENSG00000167552
CADPS	ENSG00000163618
CIT	ENSG00000122966
SYT5	ENSG00000129990
CAMK2G	ENSG00000148660
EPB41	ENSG00000159023
ADD3	ENSG00000148700
CS	ENSG00000062485
VCL	ENSG00000035403
MAOB	ENSG00000069535
PPP1R9B	ENSG00000108819
PPP3CA	ENSG00000138814
CBR1	ENSG00000159228
TMOD2	ENSG00000128872
HAPLN2	ENSG00000132702
PYCRL	ENSG00000104524
WASF3	ENSG00000132970
ATP6V0D1	ENSG00000159720
DNAJC11	ENSG00000007923
FKBP8	ENSG00000105701
ATP6V1C1	ENSG00000155097
EEF1D	ENSG00000104529
ARF1	ENSG00000143761
CRTAC1	ENSG00000095713
HSPA4L	ENSG00000164070
CAMKV	ENSG00000164076
SLC25A5	ENSG00000005022
OMG	ENSG00000126861
HOMER1	ENSG00000152413
ATP2B4	ENSG00000058668
RAC1	ENSG00000136238
DYNLL2	ENSG00000121083
CTNNA2	ENSG00000066032
UBA1	ENSG00000271310
ATP5B	ENSG00000110955
VPS35	ENSG00000069329
CHCHD6	ENSG00000159685
ANK1	ENSG00000029534
SND1	ENSG00000197157
EXOC2	ENSG00000112685
SPTAN1	ENSG00000197694
BLVRB	ENSG00000090013
MDH1	ENSG00000014641
WDR7	ENSG00000091157
ADD1	ENSG00000087274
SORBS2	ENSG00000154556
DBN1	ENSG00000113758
NFASC	ENSG00000163531
FLNA	ENSG00000269329
PYGB	ENSG00000100994
SH3GL2	ENSG00000107295
CLASP2	ENSG00000163539
AFG3L2	ENSG00000141385
SYNGR3	ENSG00000127561
YWHAQ	ENSG00000134308
PRDX2	ENSG00000167815
HK1	ENSG00000156515
SYT1	ENSG00000067715
AARS	ENSG00000090861
HSPB1	ENSG00000106211
AHNAK	ENSG00000124942
LIMCH1	ENSG00000064042
CA2	ENSG00000104267
CAPN5	ENSG00000149260
ARF5	ENSG00000004059
CRYM	ENSG00000103316
DNM2	ENSG00000079805
SLC25A18	ENSG00000182902
TAGLN3	ENSG00000144834
GABRA1	ENSG00000022355
CLTC	ENSG00000141367
HSP90AA1	ENSG00000080824
NRCAM	ENSG00000091129
RPL38	ENSG00000172809
BAG3	ENSG00000151929
FAM18A	ENSG00000166676
PBXIP1	ENSG00000163346
NLGN2	ENSG00000169992
CRIP2	ENSG00000270931
ATP2B1	ENSG00000070961
RAB7A	ENSG00000075785
GNAZ	ENSG00000128266
ACTB	ENSG00000075624
QDPR	ENSG00000151552
CRYAB	ENSG00000109846
APOD	ENSG00000189058
DOCK10	ENSG00000135905
FMNL2	ENSG00000157827
PPP2R1A	ENSG00000105568
ALDOC	ENSG00000109107
TOLLIP	ENSG00000078902
NSFL1C	ENSG00000088833
ENPP6	ENSG00000164303
BCAS1	ENSG00000064787
RPH3A	ENSG00000089169
NDUFS3	ENSG00000213619
ALDH6A1	ENSG00000119711
GRIN2B	ENSG00000150086
PAICS	ENSG00000128050
SGIP1	ENSG00000118473
YWHAB	ENSG00000166913
C1QC	ENSG00000159189
TJP1	ENSG00000104067
IQSEC2	ENSG00000268372
KLC1	ENSG00000126214
UBE2V2	ENSG00000169139
SEC22B	ENSG00000223380
AP1S1	ENSG00000106367
FLOT2	ENSG00000132589
RPL7	ENSG00000147604
CLIP2	ENSG00000263226
ATP6V1G2	ENSG00000213760
TUBB2C	ENSG00000188229
STX7	ENSG00000079950
PLCB1	ENSG00000182621
NCAN	ENSG00000130287
GPRC5B	ENSG00000167191
OPCML	ENSG00000183715
GAP43	ENSG00000172020
HSD17B4	ENSG00000133835
TPM1	ENSG00000140416
AMPH	ENSG00000078053
SPTB	ENSG00000070182
MTHFD1	ENSG00000100714
SBF1	ENSG00000100241
GRIA1	ENSG00000155511
DLG4	ENSG00000132535
CASK	ENSG00000147044
PLXNA1	ENSG00000114554
EPPK1	ENSG00000261150
PPP1R12A	ENSG00000058272
YWHAE	ENSG00000108953
ARHGAP21	ENSG00000107863
SLC25A11	ENSG00000108528
MBP	ENSG00000197971
RAPGEF4	ENSG00000091428
PPP1R7	ENSG00000115685
LSAMP	ENSG00000185565
VDAC2	ENSG00000165637
EHD1	ENSG00000110047
RAB13	ENSG00000143545
FTH1	ENSG00000167996
NCKAP1	ENSG00000061676
NAPG	ENSG00000134265
TPM3	ENSG00000143549
RAP1GDS1	ENSG00000138698
OGT	ENSG00000147162
MINK1	ENSG00000141503
EXOC1	ENSG00000090989
STX1B	ENSG00000099365
DYNLRB2	ENSG00000168589
PHB2	ENSG00000269079
ATP2B3	ENSG00000263148
EHD3	ENSG00000013016
GDI2	ENSG00000057608
ATP5D	ENSG00000099624
RAB3GAP2	ENSG00000118873
IPO5	ENSG00000065150
GPHN	ENSG00000171723
SYN3	ENSG00000185666
ACTR2	ENSG00000138071
FSCN1	ENSG00000075618
DYNC1H1	ENSG00000197102
COX5B	ENSG00000135940
TOMM20	ENSG00000173726
PACS1	ENSG00000175115
SLC25A12	ENSG00000115840
CDH2	ENSG00000170558
MYO1D	ENSG00000176658
CYFIP1	ENSG00000068793
FMNL3	ENSG00000161791
SFXN3	ENSG00000107819
TRAPPC9	ENSG00000167632
PCLO	ENSG00000186472
NRXN1	ENSG00000179915
TAOK1	ENSG00000160551
PLEC	ENSG00000261109
TNC	ENSG00000041982
CFL1	ENSG00000172757
TNR	ENSG00000116147
CAMKK1	ENSG00000004660
ROCK2	ENSG00000134318
TUBB3	ENSG00000198211
OXCT1	ENSG00000083720
NDUFA2	ENSG00000131495
ACTR1A	ENSG00000138107
SFXN1	ENSG00000164466
GNAS	ENSG00000087460
STOM	ENSG00000148175
PTK2B	ENSG00000120899
EFHD2	ENSG00000142634
AP2B1	ENSG00000270478
ACP1	ENSG00000143727
RAB1B	ENSG00000174903
AGAP2	ENSG00000135439
SNTA1	ENSG00000101400
KIAA1543	ENSG00000076826
TRAPPC3	ENSG00000054116
TUBB2B	ENSG00000137285
ACTN2	ENSG00000077522
HSP90AB1	ENSG00000096384
ALDH7A1	ENSG00000164904
PKP4	ENSG00000144283
ATP2A2	ENSG00000174437
HSPA8	ENSG00000109971
CTNND2	ENSG00000169862
HSPA1B	ENSG00000224501
TRIM2	ENSG00000109654
MAP2	ENSG00000078018
GLUD1	ENSG00000148672
ATP8A1	ENSG00000124406
CDK5	ENSG00000164885
RPLP0	ENSG00000089157
MYO5A	ENSG00000197535
STXBP1	ENSG00000136854
SLC25A13	ENSG00000004864
ANXA2	ENSG00000182718
ARPC3	ENSG00000111229
SHANK3	ENSG00000251322
MYL6B	ENSG00000196465
DYNC1LI2	ENSG00000135720
ATP6V1B2	ENSG00000147416
MLLT4	ENSG00000130396
CBR3	ENSG00000159231
UBC	ENSG00000150991
CYTH2	ENSG00000105443
SLC25A26	ENSG00000144741
VAPB	ENSG00000124164
IMMT	ENSG00000132305
9-Sep	ENSG00000261843
DLG2	ENSG00000150672
PFKL	ENSG00000141959
KIF5A	ENSG00000155980
DDX3X	ENSG00000215301
FARP1	ENSG00000152767
UQCRC2	ENSG00000140740
RGS7	ENSG00000182901
CYBRD1	ENSG00000071967
CRMP1	ENSG00000072832
PGAM1	ENSG00000171314
CCT6A	ENSG00000146731
MTDH	ENSG00000147649
NIPSNAP1	ENSG00000184117
PEA15	ENSG00000162734
CAPG	ENSG00000042493
ATP1A2	ENSG00000018625
MYH10	ENSG00000133026
CNDP2	ENSG00000133313
DNAJA1	ENSG00000086061
PTPRZ1	ENSG00000106278
C11orf41	ENSG00000110427
CKB	ENSG00000166165
ERC2	ENSG00000187672
ENO3	ENSG00000108515
DST	ENSG00000151914
RALA	ENSG00000006451
KIF5B	ENSG00000170759
RHOG	ENSG00000177105
MYL6	ENSG00000092841
ACTR3	ENSG00000115091
SLC25A4	ENSG00000151729
NCAM1	ENSG00000149294
AKR1A1	ENSG00000117448
GPRIN1	ENSG00000169258
ANKFY1	ENSG00000185722
