GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	ZFITTED_BASE	ZRESID_BASE	ensembl_gene_id	mmusculus_homolog_ensembl_gene
56998	1	9906834	9980316	18	2	690909	0.82121	-1.5829e-4	0.82136	ENSG00000178585	ENSMUSG00000028988
84328	1	9980668	10013460	11	2	691352	0.88822	-1.5829e-4	0.88838	ENSG00000162441	ENSMUSG00000028990
64802	1	9993486	10047056	15	3	697658	0.69096	-1.5829e-4	0.69112	ENSG00000173614	ENSMUSG00000028992
116362	1	10047255	10077578	5	2	667944	-0.32738	-1.5829e-4	-0.32722	ENSG00000162444	ENSMUSG00000028996
10277	1	10083041	10242797	42	10	683024	1.736	-1.5829e-4	1.7361	ENSG00000130939	ENSMUSG00000028960
23095	1	10260606	10443164	114	7	693773	-0.14446	-1.5829e-4	-0.1443	ENSG00000054523	ENSMUSG00000063077
5226	1	10448884	10482065	11	2	676435	0.59737	-1.5829e-4	0.59753	ENSG00000142657	ENSMUSG00000028961
378708	1	10479944	10511739	16	3	663929	-0.74874	-1.5829e-4	-0.74858	ENSG00000175279	NA
100526739	1	10480159	10513560	18	3	667039	-0.55244	-1.5829e-4	-0.55228	ENSG00000251503	NA
1325	1	10499776	10513560	10	2	668019	0.19892	-1.5829e-4	0.19908	ENSG00000241563	ENSMUSG00000028971
1676	1	10519088	10542613	6	2	679942	-2.9538	-1.5829e-4	-2.9536	ENSG00000160049	ENSMUSG00000028974
5195	1	10525003	10692315	143	16	688745	-2.0199	-1.5829e-4	-2.0197	ENSG00000142655	ENSMUSG00000028975
54897	1	10695161	10866733	86	29	648320	5.3979	-1.5829e-4	5.398	ENSG00000130940	ENSMUSG00000028977
148345	1	11005030	11052094	39	8	675172	-1.9504	-1.5829e-4	-1.9503	ENSG00000175262	ENSMUSG00000070577
23435	1	11062462	11087049	12	2	686280	3.6718	-1.5829e-4	3.6719	ENSG00000120948	ENSMUSG00000041459
10747	1	11085080	11117296	12	2	694503	3.7395	-1.5829e-4	3.7396	ENSG00000009724	ENSMUSG00000028979
6723	1	11113149	11130091	9	1	704985	3.6845	-1.5829e-4	3.6846	ENSG00000116649	ENSMUSG00000006442
5394	1	11125175	11169961	15	1	700516	3.6235	-1.5829e-4	3.6237	ENSG00000171824	ENSMUSG00000017264
2475	1	11165088	11332614	43	2	679139	4.261	-1.5829e-4	4.2612	ENSG00000198793	ENSMUSG00000028991
10218	1	11239346	11257538	2	1	664775	3.8946	-1.5829e-4	3.8948	ENSG00000171819	ENSMUSG00000028989
29914	1	11323255	11349991	8	2	655570	0.99845	-1.5829e-4	0.99861	ENSG00000120942	ENSMUSG00000047719
57540	1	11529295	11599140	48	6	681641	-1.8682	-1.5829e-4	-1.868	ENSG00000204624	ENSMUSG00000041544
93611	1	11704432	11724884	8	4	624831	0.96874	-1.5829e-4	0.9689	ENSG00000132879	ENSMUSG00000029001
26232	1	11706424	11724888	8	4	624831	0.96874	-1.5829e-4	0.9689	ENSG00000116661	ENSMUSG00000041556
26270	1	11714150	11735911	8	3	622918	1.2138	-1.5829e-4	1.214	ENSG00000116663	ENSMUSG00000055401
10459	1	11733037	11761678	10	4	652767	-1.4514	-1.5829e-4	-1.4512	ENSG00000116670	ENSMUSG00000029003
374946	1	11741781	11781836	17	7	649244	-1.3423	-1.5829e-4	-1.3422	ENSG00000162490	ENSMUSG00000029005
57085	1	11786142	11812328	18	4	734840	-1.1068	-1.5829e-4	-1.1066	ENSG00000177674	ENSMUSG00000029007
284498	1	11813827	11851142	36	5	747685	0.48092	-1.5829e-4	0.48108	ENSG00000215910	NA
4524	1	11844287	11876160	44	7	755239	1.9118	-1.5829e-4	1.912	ENSG00000177000	ENSMUSG00000029009
1185	1	11856153	11904701	70	9	757993	1.5905	-1.5829e-4	1.5907	ENSG00000011021	ENSMUSG00000029016
4878	1	11904266	11917840	17	5	728391	1.1022	-1.5829e-4	1.1024	ENSG00000175206	ENSMUSG00000041616
4879	1	11916021	11928992	18	5	751675	2.2269	-1.5829e-4	2.2271	ENSG00000120937	NA
90231	1	11978145	11996485	9	2	698463	1.1892	-1.5829e-4	1.1893	ENSG00000116685	ENSMUSG00000044496
5351	1	11984724	12037099	23	5	679638	2.9845	-1.5829e-4	2.9846	ENSG00000083444	ENSMUSG00000019055
9927	1	12030238	12075072	19	4	687396	0.57001	-1.5829e-4	0.57017	ENSG00000116688	ENSMUSG00000029020
60672	1	12069299	12093606	6	2	654830	1.1226	-1.5829e-4	1.1227	ENSG00000116691	ENSMUSG00000029022
943	1	12113434	12205764	46	13	642058	-0.53574	-1.5829e-4	-0.53558	ENSG00000120949	ENSMUSG00000028602
7133	1	12217044	12270779	49	9	701303	-2.8433	-1.5829e-4	-2.8432	ENSG00000028137	ENSMUSG00000028599
55187	1	12280101	12573599	70	15	671755	-1.4319	-1.5829e-4	-1.4317	ENSG00000048707	ENSMUSG00000020220
9249	1	12626439	12687820	53	18	667255	-0.53521	-1.5829e-4	-0.53505	ENSG00000162496	ENSMUSG00000066026
343066	1	12694566	12728597	23	4	594709	-0.43496	-1.5829e-4	-0.4348	ENSG00000204518	NA
126767	1	12766118	12790226	39	5	653595	-1.6994	-1.5829e-4	-1.6992	ENSG00000188984	ENSMUSG00000078507
93190	1	12796163	12822602	39	5	669719	-1.9737	-1.5829e-4	-1.9735	ENSG00000157330	ENSMUSG00000028589
390999	1	12824984	12839549	13	3	686203	-2.2827	-1.5829e-4	-2.2826	ENSG00000116726	NA
65121	1	12841546	12858277	4	1	668920	-1.9342	-1.5829e-4	-1.934	ENSG00000116721	NA
126755	1	13799945	13850242	50	17	667598	-2.9549	-1.5829e-4	-2.9547	ENSG00000162494	ENSMUSG00000028584
10630	1	13900252	13945952	56	14	673287	-2.4595	-1.5829e-4	-2.4594	ENSG00000162493	ENSMUSG00000028583
7799	1	14016714	14153074	132	19	683412	2.6007	-1.5829e-4	2.6009	ENSG00000116731	ENSMUSG00000057637
23254	1	14209646	15446044	1397	188	681601	-2.5629	-1.5829e-4	-2.5627	ENSG00000189337	ENSMUSG00000040606
55092	1	15469028	15548474	132	19	686831	-0.56482	-1.5829e-4	-0.56466	ENSG00000171729	ENSMUSG00000040616
727684	1	15489192	15508120	24	6	692761	0.49907	-1.5829e-4	0.49923	NA	NA
114827	1	15563730	15726267	106	21	667731	-1.8986	-1.5829e-4	-1.8985	ENSG00000142621	ENSMUSG00000051435
79180	1	15726391	15758339	10	3	689077	-0.30982	-1.5829e-4	-0.30967	ENSG00000142634	ENSMUSG00000040659
11330	1	15754938	15774653	5	2	688581	-1.2396	-1.5829e-4	-1.2394	ENSG00000162438	ENSMUSG00000062478
63036	1	15773223	15800086	21	5	683946	0.58229	-1.5829e-4	0.58245	ENSG00000142615	NA
51032	1	15792596	15819395	15	4	690757	3.1664	-1.5829e-4	3.1666	ENSG00000215704	NA
842	1	15816396	15861407	70	6	682425	2.2072	-1.5829e-4	2.2073	ENSG00000132906	ENSMUSG00000028914
23341	1	15843343	15899728	43	4	683611	2.6879	-1.5829e-4	2.6881	ENSG00000116138	ENSMUSG00000040697
79814	1	15896694	15921605	13	3	686952	2.5908	-1.5829e-4	2.5909	ENSG00000116771	ENSMUSG00000040706
84301	1	15933953	15997039	33	2	689033	2.1586	-1.5829e-4	2.1587	ENSG00000197312	ENSMUSG00000078515
6248	1	15976364	15989717	9	1	685075	2.2559	-1.5829e-4	2.256	ENSG00000215695	ENSMUSG00000040715
23207	1	16000632	16062764	40	4	694875	1.1846	-1.5829e-4	1.1847	ENSG00000116786	ENSMUSG00000028917
284723	1	16052721	16069384	5	1	706909	0.27817	-1.5829e-4	0.27832	ENSG00000162461	ENSMUSG00000040740
388595	1	16058987	16075792	4	2	707000	0.56305	-1.5829e-4	0.56321	ENSG00000162460	ENSMUSG00000043085
54751	1	16073107	16114589	15	4	682911	0.029017	-1.5829e-4	0.029175	ENSG00000162458	ENSMUSG00000006219
440567	1	16132157	16144194	7	2	688909	0.085422	-1.5829e-4	0.085581	ENSG00000233954	NA
23013	1	16164359	16268451	42	6	682758	1.0619	-1.5829e-4	1.062	ENSG00000065526	ENSMUSG00000040761
7709	1	16266864	16312627	19	6	693407	1.3328	-1.5829e-4	1.333	ENSG00000116809	ENSMUSG00000006215
101928566	1	16292626	16325201	22	5	678093	0.81646	-1.5829e-4	0.81662	NA	NA
149563	1	16320731	16334684	7	2	672438	-1.991	-1.5829e-4	-1.9908	ENSG00000183888	ENSMUSG00000070637
1187	1	16338486	16362048	33	6	685743	1.0343	-1.5829e-4	1.0345	ENSG00000186510	NA
27129	1	16339023	16356084	30	6	685206	1.0877	-1.5829e-4	1.0879	ENSG00000173641	ENSMUSG00000006221
1188	1	16360231	16385321	22	5	679106	-0.77777	-1.5829e-4	-0.77761	ENSG00000184908	NA
348487	1	16382764	16410127	12	3	670190	0.091953	-1.5829e-4	0.092111	ENSG00000185519	ENSMUSG00000006218
1969	1	16449332	16492582	32	6	684529	0.22105	-1.5829e-4	0.22121	ENSG00000142627	ENSMUSG00000006445
128272	1	16523099	16549104	19	3	684811	-1.358	-1.5829e-4	-1.3578	ENSG00000142632	ENSMUSG00000028919
101927546	1	16549843	16563528	4	1	676067	1.9288	-1.5829e-4	1.929	NA	NA
79363	1	16556682	16573659	4	2	695765	1.873	-1.5829e-4	1.8731	ENSG00000132881	ENSMUSG00000073733
54455	1	16571839	16688965	45	4	693479	0.75042	-1.5829e-4	0.75058	ENSG00000037637	ENSMUSG00000028920
26099	1	16683525	16726143	15	4	696006	0.64182	-1.5829e-4	0.64197	ENSG00000055070	ENSMUSG00000040842
374955	1	16720601	16773919	28	7	689221	1.1785	-1.5829e-4	1.1787	ENSG00000187144	ENSMUSG00000045004
55707	1	16757167	16788085	12	3	672944	1.4127	-1.5829e-4	1.4129	ENSG00000157191	ENSMUSG00000028923
9696	1	17238445	17300974	10	4	707030	2.3235	-1.5829e-4	2.3236	ENSG00000058453	ENSMUSG00000040860
4237	1	17299497	17318081	10	4	689312	4.3866	-1.5829e-4	4.3867	ENSG00000117122	ENSMUSG00000060572
23400	1	17310953	17348467	13	3	714821	4.1157	-1.5829e-4	4.1158	ENSG00000159363	ENSMUSG00000036622
6390	1	17343717	17390665	37	6	698002	2.7132	-1.5829e-4	2.7134	ENSG00000117118	ENSMUSG00000009863
11240	1	17391756	17455948	69	7	677124	3.2399	-1.5829e-4	3.2401	ENSG00000117115	ENSMUSG00000028927
29943	1	17521621	17574001	70	17	662959	-2.5607	-1.5829e-4	-2.5606	ENSG00000142623	ENSMUSG00000025329
51702	1	17565593	17612228	78	15	688116	-1.2722	-1.5829e-4	-1.2721	ENSG00000142619	ENSMUSG00000025328
23569	1	17624690	17691995	108	15	678116	-2.2835	-1.5829e-4	-2.2833	ENSG00000159339	ENSMUSG00000025330
353238	1	17688741	17729695	66	9	684313	1.0016	-1.5829e-4	1.0018	ENSG00000276747	NA
55920	1	17731751	17776250	20	3	694761	-0.16448	-1.5829e-4	-0.16433	ENSG00000179051	ENSMUSG00000040945
55160	1	17836693	18025870	129	18	678158	-2.8333	-1.5829e-4	-2.8331	ENSG00000074964	ENSMUSG00000040964
81569	1	18071808	18155058	49	7	686992	-0.2282	-1.5829e-4	-0.22804	ENSG00000117148	ENSMUSG00000066368
84966	1	18424240	18706477	329	66	680532	-0.91173	-1.5829e-4	-0.91157	ENSG00000117154	ENSMUSG00000040972
127707	1	18797424	18814040	37	5	688636	0.1556	-1.5829e-4	0.15576	ENSG00000179023	ENSMUSG00000078234
5081	1	18947500	19076860	125	31	649061	0.031223	-1.5829e-4	0.031382	ENSG00000009709	ENSMUSG00000028736
80834	1	19164593	19196155	16	4	661370	-1.2423	-1.5829e-4	-1.2422	ENSG00000179002	ENSMUSG00000028738
8659	1	19196424	19239293	13	4	620386	-1.3676	-1.5829e-4	-1.3675	ENSG00000159423	ENSMUSG00000028737
126917	1	19229274	19292826	28	8	670737	-0.70411	-1.5829e-4	-0.70395	ENSG00000169991	ENSMUSG00000041025
23352	1	19399500	19546812	104	9	690613	1.2224	-1.5829e-4	1.2226	ENSG00000127481	ENSMUSG00000066036
23065	1	19540658	19588053	37	9	695777	1.0936	-1.5829e-4	1.0937	ENSG00000127463	ENSMUSG00000078517
51154	1	19568075	19588122	15	4	696496	1.3079	-1.5829e-4	1.3081	ENSG00000053372	ENSMUSG00000028741
22977	1	19607557	19625280	9	3	685486	-0.31745	-1.5829e-4	-0.31729	ENSG00000162482	ENSMUSG00000028743
8574	1	19627702	19648640	14	4	674909	0.56329	-1.5829e-4	0.56345	ENSG00000053371	NA
54896	1	19628740	19660425	16	5	670032	-0.087892	-1.5829e-4	-0.087734	ENSG00000040487	ENSMUSG00000028744
832	1	19663767	19822066	179	16	689503	-0.89964	-1.5829e-4	-0.89948	ENSG00000077549	ENSMUSG00000028745
440574	1	19913471	19957815	23	6	686078	1.0686	-1.5829e-4	1.0688	ENSG00000173436	ENSMUSG00000050608
100532736	1	19913471	19986449	35	9	688350	1.6011	-1.5829e-4	1.6012	ENSG00000158747	NA
4681	1	19959723	19986449	12	5	692704	2.0095	-1.5829e-4	2.0097	NA	NA
3362	1	19981780	20007555	13	3	680533	-0.27264	-1.5829e-4	-0.27248	ENSG00000158748	ENSMUSG00000028747
255104	1	20007206	20136424	78	21	673370	-1.2349	-1.5829e-4	-1.2347	ENSG00000162542	ENSMUSG00000041143
54546	1	20139022	20151771	30	9	637428	-0.81762	-1.5829e-4	-0.81747	ENSG00000178828	ENSMUSG00000070661
23252	1	20198356	20240938	20	6	690527	-0.30598	-1.5829e-4	-0.30582	ENSG00000169914	ENSMUSG00000041161
30814	1	20245300	20260110	24	7	657127	-0.43058	-1.5829e-4	-0.43042	ENSG00000188784	ENSMUSG00000028751
5320	1	20300424	20316932	16	7	674057	-0.30961	-1.5829e-4	-0.30945	ENSG00000188257	ENSMUSG00000058908
5322	1	20376157	20419894	71	13	680881	-1.4585	-1.5829e-4	-1.4583	ENSG00000127472	ENSMUSG00000041193
26279	1	20437643	20456059	9	4	663777	-0.0065121	-1.5829e-4	-0.0063538	ENSG00000117215	ENSMUSG00000041202
64600	1	20455823	20478379	8	4	650878	-0.017878	-1.5829e-4	-0.01772	ENSG00000158786	ENSMUSG00000028749
391013	1	20488984	20511687	24	6	680251	-2.2358	-1.5829e-4	-2.2357	ENSG00000187980	ENSMUSG00000028750
127733	1	20502578	20524040	8	3	682646	1.0607	-1.5829e-4	1.0609	ENSG00000162543	ENSMUSG00000043621
127731	1	20607412	20683162	113	16	688846	-1.8151	-1.5829e-4	-1.8149	ENSG00000158816	ENSMUSG00000028753
55450	1	20807384	20822728	4	2	682662	-0.22326	-1.5829e-4	-0.2231	ENSG00000162545	ENSMUSG00000046447
79594	1	20824441	20844674	16	5	681187	0.13617	-1.5829e-4	0.13633	ENSG00000090432	ENSMUSG00000041241
163933	1	20868932	20883013	11	3	685676	-0.59194	-1.5829e-4	-0.59178	ENSG00000183114	ENSMUSG00000078235
978	1	20905444	20946901	33	8	684647	-0.92249	-1.5829e-4	-0.92233	ENSG00000158825	ENSMUSG00000028755
65018	1	20949948	20979504	22	3	679590	-1.2381	-1.5829e-4	-1.238	ENSG00000158828	ENSMUSG00000028756
1650	1	20976760	20998037	35	5	687280	-1.5016	-1.5829e-4	-1.5015	ENSG00000244038	ENSMUSG00000028757
57576	1	20988975	21054317	52	19	675181	0.30573	-1.5829e-4	0.30589	ENSG00000117245	ENSMUSG00000028758
400745	1	21044725	21069133	20	5	684295	-0.44399	-1.5829e-4	-0.44383	ENSG00000189410	ENSMUSG00000045349
50809	1	21067670	21123808	29	5	688271	-0.98277	-1.5829e-4	-0.98261	ENSG00000127483	ENSMUSG00000028759
8672	1	21131285	21513381	164	9	689247	-2.0125	-1.5829e-4	-2.0124	ENSG00000075151	ENSMUSG00000028760
1889	1	21542240	21682034	131	25	686434	-0.87186	-1.5829e-4	-0.87171	ENSG00000117298	ENSMUSG00000057530
84224	1	21756583	21812893	27	5	683306	0.77529	-1.5829e-4	0.77544	ENSG00000142794	NA
249	1	21825475	21906405	101	18	684976	-1.127	-1.5829e-4	-1.1269	ENSG00000162551	ENSMUSG00000028766
5909	1	21921208	22006010	77	22	680920	-0.46688	-1.5829e-4	-0.46672	ENSG00000076864	ENSMUSG00000041351
84196	1	22003291	22119688	86	11	681362	-0.043913	-1.5829e-4	-0.043754	ENSG00000090686	ENSMUSG00000043411
401944	1	22128758	22153214	11	5	681226	-0.12582	-1.5829e-4	-0.12566	ENSG00000187942	NA
3339	1	22147237	22273750	94	14	679180	-0.58602	-1.5829e-4	-0.58586	ENSG00000142798	ENSMUSG00000028763
